case_id,scenario,n_affected,lag,vis_condition,true_root,pred_root,root_correct,true_onset,pred_onset,onset_abs_error,model_confidence,model_reason,parse_status
NA0_LAG10_005_subplot,NA0_LAG10,0.0,10.0,subplot,3,3,True,100.0,0.0,100.0,0.9,"Channel 3 shows a distinct anomaly with a larger amplitude and different pattern compared to the others. Channels 1, 2, 4, and 5 show similar deviations, suggesting they are affected. Channel 6 maintains a consistent pattern, indicating it is unaffected.",OK
NA0_LAG10_006_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 deviates from the sinusoidal pattern seen in the other channels, maintaining a flat, noisy pattern throughout. This suggests it is the root cause of the anomaly. The other channels remain consistent with each other, indicating they are unaffected.",OK
NA0_LAG10_006_subplot,NA0_LAG10,0.0,10.0,subplot,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a flat, noisy pattern throughout, differing from the sinusoidal patterns of the other channels. This suggests it is the root cause. All other channels maintain their sinusoidal patterns, indicating they are affected by the anomaly in Channel 4.",OK
NA0_LAG10_007_overlay,NA0_LAG10,0.0,10.0,overlay,1,1,True,100.0,0.0,100.0,0.95,"Channel 1 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels remain consistent with each other, showing no signs of influence from channel 1.",OK
NA0_LAG10_007_subplot,NA0_LAG10,0.0,10.0,subplot,1,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns without any visible anomalies or deviations.,OK
NA0_LAG10_008_overlay,NA0_LAG10,0.0,10.0,overlay,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 shows a distinct pattern compared to the others, which remain closely aligned. This suggests an anomaly in channel 3 from the start.",OK
NA0_LAG10_008_subplot,NA0_LAG10,0.0,10.0,subplot,3,3,True,100.0,0.0,100.0,0.85,"Channel 3 shows a larger amplitude and different pattern compared to others, suggesting it as the root cause. Channels 1, 2, 4, and 6 show similar deviations, while Channel 5 remains consistent.",OK
NA0_LAG10_009_overlay,NA0_LAG10,0.0,10.0,overlay,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels maintain a consistent pattern.",OK
NA0_LAG10_009_subplot,NA0_LAG10,0.0,10.0,subplot,5,none,False,100.0,,,0.95,"All channels exhibit a consistent sinusoidal pattern with minor noise, indicating no anomalies or disruptions.",OK
NA0_LAG10_010_overlay,NA0_LAG10,0.0,10.0,overlay,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct pattern with higher amplitude compared to the others, which remain closely aligned. This suggests channel 5 is anomalous from the start.",OK
NA0_LAG10_010_subplot,NA0_LAG10,0.0,10.0,subplot,5,5,True,100.0,0.0,100.0,0.85,"Channel 5 shows a distinct pattern with a larger amplitude and different shape compared to the others, suggesting it is the root cause. Channels 1, 2, 3, and 4 show similar deviations, indicating they are affected. Channel 6 remains consistent, indicating it is unaffected.",OK
NA0_LAG10_011_overlay,NA0_LAG10,0.0,10.0,overlay,2,2,True,100.0,0.0,100.0,0.95,"Channel 2 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels, indicating an anomaly. The other channels maintain their normal sinusoidal pattern throughout.",OK
NA0_LAG10_011_subplot,NA0_LAG10,0.0,10.0,subplot,2,2,True,100.0,0.0,100.0,0.85,"Channel 2 shows a flat pattern with noise, deviating from the sinusoidal pattern of other channels. Channel 3 shows a similar deviation but less pronounced, suggesting it is affected. Other channels maintain their sinusoidal pattern.",OK
NA0_LAG10_012_overlay,NA0_LAG10,0.0,10.0,overlay,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct pattern that is different from the others, which follow a similar sinusoidal pattern. This suggests that channel 5 is anomalous from the start.",OK
NA0_LAG10_012_subplot,NA0_LAG10,0.0,10.0,subplot,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a flat pattern throughout, deviating from the sinusoidal pattern of other channels. Channels 1, 2, 3, and 4 show increased noise, likely influenced by Channel 5. Channel 6 remains unaffected.",OK
NA0_LAG10_013_overlay,NA0_LAG10,0.0,10.0,overlay,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 deviates significantly from the others starting around time step 100, while the other channels maintain a similar pattern throughout.",OK
NA0_LAG10_013_subplot,NA0_LAG10,0.0,10.0,subplot,1,2,False,100.0,0.0,100.0,0.9,"Channel 2 shows increased noise throughout, suggesting it is the root cause. Channels 5 and 6 show similar noise patterns, indicating they are affected. Channels 1, 3, and 4 maintain a smooth sinusoidal pattern.",OK
NA0_LAG10_014_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,150.0,50.0,0.95,"Channel 4 deviates significantly from the others starting around time step 150, showing a different pattern. The other channels maintain a consistent pattern throughout.",OK
NA0_LAG10_014_subplot,NA0_LAG10,0.0,10.0,subplot,4,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns with no visible anomalies or deviations from expected behavior.,OK
NA0_LAG10_015_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 deviates from the sinusoidal pattern seen in the other channels, showing a flat, noisy pattern throughout. This suggests it is the root cause of the anomaly, while the other channels remain unaffected.",OK
NA0_LAG10_015_subplot,NA0_LAG10,0.0,10.0,subplot,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a flat, noisy pattern throughout, unlike the sinusoidal patterns of the other channels. This suggests an anomaly originating in Channel 4. Other channels maintain their normal patterns.",OK
NA0_LAG10_016_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,0.0,100.0,0.95,Channel 4 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time series. This suggests it is the root cause and not influenced by others.,OK
NA0_LAG10_016_subplot,NA0_LAG10,0.0,10.0,subplot,4,4,True,100.0,0.0,100.0,0.85,"Channel 4 shows a consistent noise pattern throughout, differing from the sinusoidal patterns of other channels. Channel 2 shows increased noise, possibly influenced by Channel 4. Other channels maintain their sinusoidal patterns.",OK
NA0_LAG10_017_overlay,NA0_LAG10,0.0,10.0,overlay,6,6,True,100.0,250.0,150.0,0.95,"Channel 6 deviates significantly from the others starting around time step 250, indicating an anomaly. The other channels maintain their normal pattern.",OK
NA0_LAG10_017_subplot,NA0_LAG10,0.0,10.0,subplot,6,none,False,100.0,,,0.95,All channels exhibit consistent sinusoidal patterns with no visible anomalies or deviations from their expected behavior.,OK
NA0_LAG10_018_overlay,NA0_LAG10,0.0,10.0,overlay,6,6,True,100.0,0.0,100.0,0.95,"Channel 6 shows a distinct pattern compared to the others, which follow a similar sinusoidal pattern. Channel 6 deviates significantly, indicating it is the root cause of the anomaly.",OK
NA0_LAG10_018_subplot,NA0_LAG10,0.0,10.0,subplot,6,none,False,100.0,,,0.95,All channels exhibit similar sinusoidal patterns with no clear anomalies or deviations from their expected behavior.,OK
NA0_LAG10_019_overlay,NA0_LAG10,0.0,10.0,overlay,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 shows a flat pattern with small fluctuations, distinct from the sinusoidal pattern of the other channels. This suggests it is anomalous from the start and unrelated to the others.",OK
NA0_LAG10_019_subplot,NA0_LAG10,0.0,10.0,subplot,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 shows a deviation from its sinusoidal pattern starting around time step 100, while other channels maintain their patterns.",OK
NA0_LAG10_020_overlay,NA0_LAG10,0.0,10.0,overlay,6,6,True,100.0,0.0,100.0,0.95,"Channel 6 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels maintain a consistent pattern.",OK
NA0_LAG10_020_subplot,NA0_LAG10,0.0,10.0,subplot,6,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern without any visible anomalies or deviations from their normal behavior.,OK
NA0_LAG10_021_overlay,NA0_LAG10,0.0,10.0,overlay,2,2,True,100.0,0.0,100.0,0.95,Channel 2 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time series. The other channels remain consistent with each other.,OK
NA0_LAG10_021_subplot,NA0_LAG10,0.0,10.0,subplot,2,2,True,100.0,0.0,100.0,0.95,"Channel 2 shows a flat pattern throughout, deviating from the sinusoidal pattern of other channels, indicating an anomaly. Other channels maintain their normal sinusoidal patterns.",OK
NA0_LAG10_022_overlay,NA0_LAG10,0.0,10.0,overlay,6,6,True,100.0,0.0,100.0,0.95,"Channel 6 deviates significantly from the others throughout the entire time period, indicating it is the root cause. The other channels remain consistent with each other.",OK
NA0_LAG10_022_subplot,NA0_LAG10,0.0,10.0,subplot,6,6,True,100.0,0.0,100.0,0.85,"Channel 6 shows a larger amplitude than the others, indicating an anomaly. Channels 2, 4, and 5 show increased noise, suggesting they are affected. Channels 1 and 3 maintain a consistent pattern.",OK
NA0_LAG10_023_overlay,NA0_LAG10,0.0,10.0,overlay,2,2,True,100.0,0.0,100.0,0.95,"Channel 2 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time series. The other channels remain consistent with each other, indicating no influence from channel 2.",OK
NA0_LAG10_023_subplot,NA0_LAG10,0.0,10.0,subplot,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 shows a deviation from its sinusoidal pattern starting around time step 100, while other channels maintain their patterns.",OK
NA0_LAG10_024_overlay,NA0_LAG10,0.0,10.0,overlay,4,6,False,100.0,0.0,100.0,0.95,"Channel 6 deviates from the sinusoidal pattern of the other channels, showing a flat, noisy pattern throughout. No other channels appear to be affected.",OK
NA0_LAG10_024_subplot,NA0_LAG10,0.0,10.0,subplot,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a flat pattern throughout, differing from the sinusoidal patterns of the other channels. This suggests an anomaly originating in Channel 4. No other channels appear affected.",OK
NA0_LAG10_025_overlay,NA0_LAG10,0.0,10.0,overlay,5,6,False,100.0,250.0,150.0,0.95,"Channel 6 deviates significantly from the others starting around time step 250, while the other channels maintain their normal pattern.",OK
NA0_LAG10_025_subplot,NA0_LAG10,0.0,10.0,subplot,5,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations. There is no indication of any channel influencing others anomalously.,OK
NA0_LAG10_026_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 deviates significantly from the others throughout the entire time period, indicating it is the root cause. The other channels remain consistent with each other.",OK
NA0_LAG10_026_subplot,NA0_LAG10,0.0,10.0,subplot,4,none,False,100.0,,,0.95,All channels exhibit similar sinusoidal patterns with no clear anomalies or deviations. There is no indication of a root cause or affected channels.,OK
NA0_LAG10_027_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels maintain a similar pattern and do not appear to be influenced by channel 4.",OK
NA0_LAG10_027_subplot,NA0_LAG10,0.0,10.0,subplot,4,4,True,100.0,0.0,100.0,0.85,"Channel 4 shows a distinct amplitude anomaly from the start, which is not present in other channels. Channel 2 shows a slight deviation, possibly influenced by Channel 4.",OK
NA0_LAG10_028_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,200.0,100.0,0.95,"Channel 4 deviates significantly from the others starting around time step 200, while the other channels maintain their normal pattern.",OK
NA0_LAG10_028_subplot,NA0_LAG10,0.0,10.0,subplot,4,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations from their expected behavior.,OK
NA0_LAG10_029_overlay,NA0_LAG10,0.0,10.0,overlay,4,4,True,100.0,200.0,100.0,0.95,"Channel 4 deviates significantly from the others starting around time step 200, indicating an anomaly. The other channels maintain their normal pattern.",OK
NA0_LAG10_029_subplot,NA0_LAG10,0.0,10.0,subplot,4,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns with no visible anomalies or deviations from expected behavior.,OK
NA0_LAG50_000_overlay,NA0_LAG50,0.0,50.0,overlay,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels remain consistent with each other.",OK
NA0_LAG50_000_subplot,NA0_LAG50,0.0,50.0,subplot,3,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations from their expected behavior.,OK
NA0_LAG50_001_overlay,NA0_LAG50,0.0,50.0,overlay,1,,,100.0,,,,invalid_or_missing_affected_channels,PARSE_ERROR
NA0_LAG50_001_subplot,NA0_LAG50,0.0,50.0,subplot,1,1,True,100.0,0.0,100.0,0.95,"Channel 1 shows a flat pattern, deviating from the sinusoidal pattern of the other channels, indicating it as the root cause. All other channels exhibit similar sinusoidal patterns, suggesting they are affected by the anomaly in Channel 1.",OK
NA0_LAG50_002_overlay,NA0_LAG50,0.0,50.0,overlay,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is anomalous from the start. The other channels maintain a consistent pattern.",OK
NA0_LAG50_002_subplot,NA0_LAG50,0.0,50.0,subplot,5,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern without any visible anomalies or deviations.,OK
NA0_LAG50_003_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,0.0,100.0,0.95,"Channel 2 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels, indicating an anomaly. The other channels maintain their normal sinusoidal pattern throughout.",OK
NA0_LAG50_003_subplot,NA0_LAG50,0.0,50.0,subplot,2,2,True,100.0,0.0,100.0,0.85,"Channel 2 shows a flat pattern with noise, deviating from the sinusoidal pattern seen in other channels. Channels 1 and 4 show deviations that could be influenced by Channel 2's anomaly. Channels 3, 5, and 6 maintain their normal sinusoidal patterns.",OK
NA0_LAG50_004_overlay,NA0_LAG50,0.0,50.0,overlay,1,1,True,100.0,0.0,100.0,0.95,"Channel 1 deviates significantly from the others throughout the entire time period, indicating it is the root cause. The other channels remain consistent with each other.",OK
NA0_LAG50_004_subplot,NA0_LAG50,0.0,50.0,subplot,1,4,False,100.0,150.0,50.0,0.95,"Channel 4 shows a clear deviation from its sinusoidal pattern starting around time step 150, which is followed by similar deviations in all other channels. This suggests that Channel 4 is the root cause, affecting all other channels.",OK
NA0_LAG50_005_overlay,NA0_LAG50,0.0,50.0,overlay,5,5,True,100.0,0.0,100.0,0.95,Channel 5 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time series.,OK
NA0_LAG50_005_subplot,NA0_LAG50,0.0,50.0,subplot,5,5,True,100.0,0.0,100.0,0.9,"Channel 5 shows a flat pattern throughout, deviating from the sinusoidal pattern of other channels. Channels 1, 2, 3, and 4 show increased noise, possibly reacting to Channel 5's anomaly. Channel 6 remains unaffected, maintaining its normal pattern.",OK
NA0_LAG50_006_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,200.0,100.0,0.95,"Channel 2 deviates significantly from the others starting around time step 200, while the rest maintain a consistent pattern.",OK
NA0_LAG50_006_subplot,NA0_LAG50,0.0,50.0,subplot,2,none,False,100.0,,,0.95,All channels exhibit similar sinusoidal patterns with no clear anomalies or deviations from their expected behavior.,OK
NA0_LAG50_007_overlay,NA0_LAG50,0.0,50.0,overlay,4,6,False,100.0,200.0,100.0,0.95,"Channel 6 deviates significantly from the others starting around time step 200, while the other channels maintain their normal pattern.",OK
NA0_LAG50_007_subplot,NA0_LAG50,0.0,50.0,subplot,4,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations from their expected behavior.,OK
NA0_LAG50_008_overlay,NA0_LAG50,0.0,50.0,overlay,5,5,True,100.0,0.0,100.0,0.95,"Channel 5 shows a distinct pattern that deviates from the others throughout the entire time series, indicating it is the root cause. The other channels maintain a consistent pattern.",OK
NA0_LAG50_008_subplot,NA0_LAG50,0.0,50.0,subplot,5,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations from their expected behavior.,OK
NA0_LAG50_009_overlay,NA0_LAG50,0.0,50.0,overlay,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 shows a flat pattern with noise, differing from the sinusoidal pattern of the other channels, indicating an anomaly. The other channels maintain their normal sinusoidal pattern.",OK
NA0_LAG50_009_subplot,NA0_LAG50,0.0,50.0,subplot,3,3,True,100.0,0.0,100.0,0.85,"Channel 3 shows a flat pattern with noise, differing from the sinusoidal patterns of other channels. This suggests it is the root cause. All other channels show increased noise, indicating they are affected.",OK
NA0_LAG50_010_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,0.0,100.0,0.95,Channel 2 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time series.,OK
NA0_LAG50_010_subplot,NA0_LAG50,0.0,50.0,subplot,2,2,True,100.0,0.0,100.0,0.85,"Channel 2 shows a flat pattern with noise, differing from the sinusoidal patterns of other channels. Channels 1, 3, 5, and 6 show increased noise, suggesting influence. Channel 4 maintains a consistent pattern.",OK
NA0_LAG50_011_overlay,NA0_LAG50,0.0,50.0,overlay,1,1,True,100.0,0.0,100.0,0.95,"Channel 1 shows a distinct pattern compared to the others, which remain synchronized. This suggests an anomaly in channel 1 from the start.",OK
NA0_LAG50_011_subplot,NA0_LAG50,0.0,50.0,subplot,1,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern without any visible anomalies or deviations. There is no indication of a root cause or affected channels.,OK
NA0_LAG50_012_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,150.0,50.0,0.95,"Channel 2 deviates significantly from the others starting around time step 150, while the other channels maintain a consistent pattern.",OK
NA0_LAG50_012_subplot,NA0_LAG50,0.0,50.0,subplot,2,2,True,100.0,0.0,100.0,0.9,"Channel 2 shows a deviation from a smooth sinusoidal pattern with increased noise, suggesting it as the root cause. All other channels exhibit similar noise patterns, indicating they are affected.",OK
NA0_LAG50_013_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,150.0,50.0,0.95,"Channel 2 deviates significantly from the others starting around time step 150, showing a different pattern. The other channels maintain their normal sinusoidal pattern.",OK
NA0_LAG50_013_subplot,NA0_LAG50,0.0,50.0,subplot,2,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern without any visible anomalies or deviations.,OK
NA0_LAG50_014_overlay,NA0_LAG50,0.0,50.0,overlay,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 deviates significantly from the others starting around time step 100, showing a different pattern. The other channels maintain a consistent pattern throughout.",OK
NA0_LAG50_014_subplot,NA0_LAG50,0.0,50.0,subplot,3,2,False,100.0,150.0,50.0,0.9,"Channel 2 shows a deviation from its normal pattern starting around time step 150, which is followed by similar deviations in channels 1, 4, and 5. Channels 3 and 6 maintain their regular patterns throughout.",OK
NA0_LAG50_015_overlay,NA0_LAG50,0.0,50.0,overlay,6,6,True,100.0,0.0,100.0,0.95,Channel 6 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels throughout the entire time range. The other channels remain consistent with each other.,OK
NA0_LAG50_015_subplot,NA0_LAG50,0.0,50.0,subplot,6,6,True,100.0,0.0,100.0,0.95,"Channel 6 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels, suggesting it is the root cause. All other channels appear to be affected as they show increased noise and deviation from their typical patterns.",OK
NA0_LAG50_016_overlay,NA0_LAG50,0.0,50.0,overlay,5,5,True,100.0,150.0,50.0,0.95,"Channel 5 deviates significantly from the others starting around time step 150, showing a different pattern. The other channels maintain a consistent pattern throughout.",OK
NA0_LAG50_016_subplot,NA0_LAG50,0.0,50.0,subplot,5,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns without any visible anomalies or deviations.,OK
NA0_LAG50_017_overlay,NA0_LAG50,0.0,50.0,overlay,1,1,True,100.0,0.0,100.0,0.95,"Channel 1 deviates significantly from the others throughout the entire time range, indicating it is the root cause. The other channels remain closely aligned, showing no signs of influence from channel 1.",OK
NA0_LAG50_017_subplot,NA0_LAG50,0.0,50.0,subplot,1,2,False,100.0,0.0,100.0,0.95,"Channel 2 shows an anomaly starting from the beginning with increased noise, which seems to influence channels 3, 4, 5, and 6. Channel 1 remains unaffected and follows a smooth pattern.",OK
NA0_LAG50_018_overlay,NA0_LAG50,0.0,50.0,overlay,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 exhibits a different pattern from the start, maintaining a flat, noisy signal while others follow a sinusoidal pattern.",OK
NA0_LAG50_018_subplot,NA0_LAG50,0.0,50.0,subplot,3,3,True,100.0,0.0,100.0,0.95,"Channel 3 shows a flat pattern throughout, differing from the sinusoidal patterns of the other channels, indicating it as the root cause. All other channels exhibit similar sinusoidal patterns, suggesting they are affected.",OK
NA0_LAG50_019_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,200.0,100.0,0.95,"Channel 2 deviates significantly from the others starting around time step 200, while the other channels maintain a consistent pattern.",OK
NA0_LAG50_019_subplot,NA0_LAG50,0.0,50.0,subplot,2,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns without any visible anomalies or deviations from their expected behavior.,OK
NA0_LAG50_020_overlay,NA0_LAG50,0.0,50.0,overlay,4,4,True,100.0,150.0,50.0,0.95,"Channel 4 deviates significantly from the others starting at time step 150, showing a different pattern. The other channels maintain their normal sinusoidal pattern.",OK
NA0_LAG50_020_subplot,NA0_LAG50,0.0,50.0,subplot,4,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern without any visible anomalies or deviations.,OK
NA0_LAG50_021_overlay,NA0_LAG50,0.0,50.0,overlay,3,,,100.0,,,,invalid_or_missing_affected_channels,PARSE_ERROR
NA0_LAG50_021_subplot,NA0_LAG50,0.0,50.0,subplot,3,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns without any visible anomalies or deviations.,OK
NA0_LAG50_022_overlay,NA0_LAG50,0.0,50.0,overlay,1,1,True,100.0,150.0,50.0,0.95,"Channel 1 deviates significantly from the others starting around time step 150, while the other channels maintain a consistent pattern.",OK
NA0_LAG50_022_subplot,NA0_LAG50,0.0,50.0,subplot,1,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations from their expected behavior.,OK
NA0_LAG50_023_overlay,NA0_LAG50,0.0,50.0,overlay,2,2,True,100.0,200.0,100.0,0.95,"Channel 2 deviates significantly from the others starting around time step 200, while the other channels maintain a consistent pattern.",OK
NA0_LAG50_023_subplot,NA0_LAG50,0.0,50.0,subplot,2,2,True,100.0,200.0,100.0,0.9,"Channel 2 shows a distinct upward trend starting around time step 200, which is not present in other channels initially. Channels 1, 4, and 5 show changes following this anomaly, while channels 3 and 6 remain unaffected.",OK
NA0_LAG50_024_overlay,NA0_LAG50,0.0,50.0,overlay,1,1,True,100.0,150.0,50.0,0.95,"Channel 1 deviates significantly from the others starting around time step 150, while the other channels maintain a consistent pattern. This suggests channel 1 is the root cause of the anomaly.",OK
NA0_LAG50_024_subplot,NA0_LAG50,0.0,50.0,subplot,1,2,False,100.0,0.0,100.0,0.85,"Channel 2 shows a deviation from a smooth sinusoidal pattern starting from the beginning, which is mirrored in channels 4 and 6. Channels 1, 3, and 5 maintain their regular patterns.",OK
NA0_LAG50_025_overlay,NA0_LAG50,0.0,50.0,overlay,6,,,100.0,,,,invalid_or_missing_affected_channels,PARSE_ERROR
NA0_LAG50_025_subplot,NA0_LAG50,0.0,50.0,subplot,6,none,False,100.0,,,0.95,All channels exhibit similar sinusoidal patterns with no clear anomalies or deviations from their expected behavior.,OK
NA0_LAG50_026_overlay,NA0_LAG50,0.0,50.0,overlay,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 deviates significantly from the others starting around time step 100, while the other channels maintain a consistent pattern.",OK
NA0_LAG50_026_subplot,NA0_LAG50,0.0,50.0,subplot,1,none,False,100.0,,,0.95,All channels exhibit normal sinusoidal patterns without any noticeable anomalies or deviations.,OK
NA0_LAG50_027_overlay,NA0_LAG50,0.0,50.0,overlay,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a distinct pattern that deviates from the sinusoidal pattern of the other channels, indicating an anomaly from the start. The other channels maintain their normal sinusoidal pattern throughout.",OK
NA0_LAG50_027_subplot,NA0_LAG50,0.0,50.0,subplot,4,4,True,100.0,0.0,100.0,0.95,"Channel 4 shows a flat pattern throughout, deviating from the sinusoidal pattern of other channels, indicating it as the root cause. All other channels show similar sinusoidal patterns, suggesting they are affected.",OK
NA0_LAG50_028_overlay,NA0_LAG50,0.0,50.0,overlay,5,6,False,100.0,200.0,100.0,0.95,"Channel 6 deviates significantly from the others starting around time step 200, while the other channels maintain a consistent pattern.",OK
NA0_LAG50_028_subplot,NA0_LAG50,0.0,50.0,subplot,5,none,False,100.0,,,0.95,All channels exhibit a consistent sinusoidal pattern with no visible anomalies or deviations. There is no indication of any channel influencing others anomalously.,OK
