case_id,scenario,source_case,candidate_start,candidate_end,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
V3_003,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_004,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_005,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_006,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_007,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_008,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_009,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move in sync.,OK
V3_010,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_011,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_012,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_013,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_014,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move in sync.,OK
V3_015,V3,C3,0,100,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge and do not maintain their previous synchronized pattern.",OK
V3_016,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_017,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_018,V3,C3,0,100,invalid,invalid,0.95,"Inside the red interval, Channel A and Channel B maintain a synchronized relationship, moving together closely.",OK
V3_019,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_020,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_021,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_022,V3,C3,0,100,invalid,invalid,0.95,"Inside the red interval, Channel A and Channel B maintain a synchronized relationship, moving together in phase.",OK
V3_023,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move in sync.,OK
V3_024,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V3_025,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_026,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_027,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move in sync.,OK
V3_028,V3,C3,0,100,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V3_029,V3,C3,0,100,invalid,invalid,0.95,"Inside the red interval, Channel A and Channel B maintain a synchronized relationship, moving together closely.",OK
V4_000,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_001,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_002,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_003,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_004,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_005,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_006,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_007,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_008,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_009,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_010,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_011,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_012,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_013,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_014,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_015,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_016,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_017,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_018,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_019,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_020,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_021,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_022,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_023,V4,C4,150,250,valid,valid,0.95,"Inside the red shaded interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_024,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_025,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_026,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_027,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_028,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V4_029,V4,C4,150,250,valid,valid,0.95,"Inside the red interval, Channel A and Channel B move independently, breaking their previous synchronized pattern.",OK
V5_000,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movements, indicating a break in their relationship.",OK
V5_001,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movement, indicating a break in their relationship.",OK
V5_002,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V5_003,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movement, indicating a break in their relationship.",OK
V5_004,V5,C5,100,200,valid,valid,0.95,"Inside the red shaded interval, Channel A and Channel B show a noticeable divergence in their movement, indicating a break in their relationship.",OK
V5_005,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_006,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_007,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_008,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_009,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V5_010,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V5_011,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in a similar pattern.,OK
V5_012,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V5_013,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V5_014,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_015,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together closely.,OK
V5_016,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movement patterns, indicating a break in their relationship.",OK
V5_017,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movements, indicating a break in their relationship.",OK
V5_018,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movement, indicating a break in their relationship.",OK
V5_019,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movement, indicating a break in their relationship.",OK
V5_020,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_021,V5,C5,100,200,valid,valid,0.95,"Inside the red shaded interval, Channel A and Channel B show a noticeable divergence in their movement patterns, indicating a break in their relationship.",OK
V5_022,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V5_023,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in sync.,OK
V5_024,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V5_025,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V5_026,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V5_027,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B diverge significantly, indicating a break in their relationship.",OK
V5_028,V5,C5,100,200,valid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they move together in sync.,OK
V5_029,V5,C5,100,200,valid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V6_000,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_001,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together in a similar pattern.,OK
V6_002,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_003,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V6_004,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V6_005,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they continue to move together.,OK
V6_006,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_007,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_008,V6,C6,100,200,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their movements, indicating a break in their relationship.",OK
V6_009,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together in a similar pattern.,OK
V6_010,V6,C6,100,200,invalid,valid,0.95,"Inside the red interval, Channel A and Channel B show a noticeable divergence in their patterns, indicating a break in their relationship.",OK
V6_011,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in a similar pattern.,OK
V6_012,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V6_013,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V6_014,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V6_015,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they continue to move together.,OK
V6_016,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they continue to move together.,OK
V6_017,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they continue to move together.,OK
V6_018,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together in a similar pattern.,OK
V6_019,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_020,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_021,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they continue to move together.,OK
V6_022,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red interval, as they continue to move together in a similar pattern.",OK
V6_023,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red shaded interval as they move together closely.,OK
V6_024,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red interval, as they continue to move together in a similar pattern.",OK
V6_025,V6,C6,100,200,invalid,invalid,0.95,The relationship between Channel A and Channel B is maintained inside the red interval as they continue to move together.,OK
V6_026,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red shaded interval, as they continue to move together in a similar pattern.",OK
V6_027,V6,C6,100,200,invalid,invalid,0.95,"The relationship between Channel A and Channel B is maintained inside the red interval, as they continue to move together in a similar pattern.",OK
