pass,entity,start,end,length,csc,pct,prior,cal_mean,cand_vlm,diff,threshold,verdict,keep,is_tp,flag,dominant_change,reason
1,machine-1-1,18256,18647,392,0.21223680369023765,96.83168316831683,HIGH,1.0,8.0,7.0,0.0,ANOMALY,True,True,TP,Significant increase in all channels with a sharp upward trend.,The candidate shows a clear structural deviation with a sharp increase in all channels compared to the stable baseline p
1,machine-1-1,19656,20271,616,0.20247541478073056,92.67326732673268,HIGH,1.3333333333333333,8.0,6.666666666666667,0.0,ANOMALY,True,True,TP,"sudden spike in Ch0 and elevated levels in Ch20, Ch21, and Ch34","The candidate shows a significant spike and elevated levels across multiple channels, which is a clear deviation from th"
1,machine-1-1,20944,21391,448,0.19882525503635406,89.3069306930693,MOD,2.3333333333333335,6.0,3.6666666666666665,2.5,ANOMALY,True,True,TP,elevated activity in Ch0 and Ch20 with noticeable deviation,"The candidate shows a noticeable increase in activity and deviation in Ch0 and Ch20 compared to the baseline, indicating"
1,machine-1-1,22120,22511,392,0.19810168777725526,88.51485148514851,MOD,2.6666666666666665,7.0,4.333333333333334,2.5,ANOMALY,True,False,FP,sustained elevation in all channels with increased variability,"The candidate shows a clear and sustained elevation in all channels compared to the baselines, indicating a definite pat"
1,machine-1-1,23632,24079,448,0.20100796251790598,91.68316831683168,MOD,2.0,6.0,4.0,2.5,ANOMALY,True,False,FP,Increased amplitude and variability in all channels during the candidate window.,The candidate shows a noticeable increase in amplitude and variability compared to the consistent low-level activity in 
1,machine-1-1,24976,25311,336,0.19904464211625358,89.3069306930693,MOD,1.0,7.0,6.0,2.5,ANOMALY,True,False,FP,sustained elevation and increased variability in Ch0,"The candidate shows a clear and sustained elevation in Ch0 with increased variability, unlike the stable patterns in the"
1,machine-1-1,26488,26823,336,0.19060888793319464,82.97029702970296,MOD,1.0,6.0,5.0,2.5,ANOMALY,True,False,FP,Sustained elevation in all channels with increased variability.,"The candidate shows a noticeable and sustained elevation in all channels compared to the stable baselines, indicating un"
1,machine-1-2,4536,4759,224,0.17483112745685503,98.09523809523809,HIGH,2.0,8.0,6.0,0.0,ANOMALY,True,True,TP,Increased amplitude and frequency of fluctuations in Ch0 and Ch5,The candidate panel shows a significant increase in amplitude and frequency of fluctuations in Ch0 and Ch5 compared to t
1,machine-1-2,5432,5599,168,0.1658699334754298,79.52380952380952,LOW,3.3333333333333335,5.0,1.6666666666666665,3.5,NORMAL,False,True,TP,increased amplitude and frequency of spikes in Ch0 and Ch1,"The candidate shows increased amplitude and frequency of spikes in Ch0 and Ch1 compared to the baseline, indicating noti"
1,machine-1-2,5712,6103,392,0.17202706814610533,92.61904761904762,HIGH,3.3333333333333335,8.0,4.666666666666666,0.0,ANOMALY,True,True,TP,Increased variability and spikes in Ch0 and Ch5 in the candidate panel.,"The candidate panel shows significant deviations with increased variability and spikes, particularly in Ch0 and Ch5, com"
1,machine-1-2,6160,6943,784,0.17148417374119163,90.95238095238095,MOD,3.0,7.0,4.0,2.5,ANOMALY,True,False,FP,Increased variability and spikes in Ch6 and Ch5,The candidate shows increased variability and spikes in Ch6 and Ch5 compared to the consistent patterns in the baselines
1,machine-1-2,7280,7503,224,0.16616800712654367,80.95238095238095,LOW,3.0,5.0,2.0,3.5,NORMAL,False,False,FP,Increased variability and peaks in Ch0 and Ch1,"The candidate shows increased variability and peaks in Ch0 and Ch1 compared to the baseline, indicating a noticeable but"
1,machine-1-2,7784,8007,224,0.16686960333026946,83.0952380952381,MOD,3.0,6.0,3.0,2.5,ANOMALY,True,False,FP,Increased variability and peaks in Ch0 and Ch6,"The candidate shows increased variability and peaks in Ch0 and Ch6 compared to the baseline, indicating a noticeable dev"
1,machine-1-2,8288,8511,224,0.16660270473221317,82.38095238095238,MOD,3.6666666666666665,6.0,2.3333333333333335,2.5,NORMAL,False,False,FP,Increased variability and peaks in Ch0 and Ch1 compared to baselines.,"The candidate shows noticeably increased variability and peaks in Ch0 and Ch1, indicating uncommon patterns compared to "
1,machine-1-2,11144,11423,280,0.16731184511445463,84.04761904761905,MOD,3.6666666666666665,7.0,3.3333333333333335,2.5,ANOMALY,True,False,FP,Ch0 shows a significant drop and fluctuation not seen in baselines.,"The candidate panel shows a clear deviation in Ch0 with a drop and fluctuation pattern, unlike the stable patterns in th"
1,machine-1-2,12432,13047,616,0.17101809913715857,90.0,MOD,3.3333333333333335,6.0,2.6666666666666665,2.5,ANOMALY,True,False,FP,increased amplitude in Ch0 and Ch1,"The candidate shows a noticeable increase in amplitude in Ch0 and Ch1 compared to the baselines, indicating elevated act"
1,machine-1-2,13384,13495,112,0.1665913627715785,82.14285714285714,MOD,3.3333333333333335,6.0,2.6666666666666665,2.5,ANOMALY,True,False,FP,Increased variability and spikes in Ch1 and Ch0,"The candidate shows noticeably increased variability and spikes in Ch1 and Ch0 compared to the baseline, indicating unco"
1,machine-1-2,14616,14727,112,0.16549175354884937,77.85714285714286,LOW,2.3333333333333335,5.0,2.6666666666666665,3.5,NORMAL,False,False,FP,Increased amplitude and frequency of spikes in Ch0 and Ch1,"The candidate shows a noticeable increase in amplitude and frequency of spikes in Ch0 and Ch1 compared to the baselines,"
1,machine-1-2,15456,15679,224,0.16820922965416685,87.38095238095238,MOD,3.0,6.0,3.0,2.5,ANOMALY,True,True,TP,"Increased variability and elevated levels in all channels, especially Ch0.","The candidate shows noticeably increased variability and elevated levels compared to the baselines, indicating uncommon "
1,machine-1-2,15792,16071,280,0.17475550479721277,97.61904761904762,HIGH,2.0,9.0,7.0,0.0,ANOMALY,True,True,TP,Ch0 shows a significant drop and Ch5 shows a structural deviation in the candida,"The candidate panel exhibits a drastic change in Ch0 and Ch5 compared to the baselines, indicating a clear anomaly."
1,machine-1-2,16912,17079,168,0.1689682232293611,88.09523809523809,MOD,3.0,5.0,2.0,2.5,NORMAL,False,False,FP,slight elevation in Ch0 and Ch2,"The candidate shows a noticeable elevation in Ch0 and Ch2 compared to the baseline, indicating uncommon but not extreme "
1,machine-1-2,18480,19039,560,0.16923364220419898,88.33333333333333,MOD,1.0,6.0,5.0,2.5,ANOMALY,True,True,TP,Increased amplitude and frequency of spikes in Ch0 during candidate window,"The candidate shows noticeably increased activity in Ch0 compared to the baseline, indicating an uncommon pattern."
1,machine-1-2,19208,19431,224,0.1659341043094189,80.0,LOW,2.3333333333333335,4.0,1.6666666666666665,3.5,NORMAL,False,False,FP,slight elevation in Ch0 and Ch2,"The candidate shows a modest increase in activity in Ch0 and Ch2 compared to the baselines, indicating slightly unusual "
1,machine-1-2,20048,20439,392,0.1703887386496977,89.52380952380953,MOD,3.6666666666666665,6.0,2.3333333333333335,2.5,NORMAL,False,True,TP,Increased variability and spikes in Ch0 and Ch1.,"The candidate shows increased variability and spikes in Ch0 and Ch1 compared to the baseline, indicating a noticeable de"
1,machine-1-2,20608,20887,280,0.16757898810785363,84.76190476190476,MOD,3.0,5.0,2.0,2.5,NORMAL,False,False,FP,slight elevation in Ch0 and Ch1 activity,"The candidate shows a noticeable increase in Ch0 and Ch1 activity compared to the baseline, indicating uncommon but not "
1,machine-1-2,21784,22399,616,0.17483399862169594,98.09523809523809,HIGH,3.0,8.0,5.0,0.0,ANOMALY,True,True,TP,Increased amplitude and frequency of spikes in Ch0 and Ch1,"The candidate panel shows a significant increase in spike amplitude and frequency, particularly in Ch0 and Ch1, which is"
1,machine-1-2,22680,22959,280,0.16705605705734355,83.57142857142857,MOD,3.0,5.0,2.0,2.5,NORMAL,False,False,FP,increased amplitude in Ch0 and Ch1,"The candidate shows a noticeable increase in amplitude in Ch0 and Ch1 compared to the baseline, indicating elevated acti"
1,machine-1-5,10416,10807,392,0.17936553633106606,92.85714285714286,HIGH,2.3333333333333335,7.0,4.666666666666666,1.5,ANOMALY,True,True,TP,Increased amplitude and frequency variation in Ch15 and Ch13,"The candidate shows a clear increase in amplitude and variation compared to the baseline, indicating a significant devia"
1,machine-1-5,11704,11927,224,0.17520335788140073,91.19047619047619,MOD,3.3333333333333335,5.0,1.6666666666666665,2.5,NORMAL,False,True,TP,slightly increased amplitude and frequency in Ch15 and Ch13,"The candidate shows a noticeable increase in amplitude and frequency compared to baselines, indicating elevated activity"
1,machine-1-5,12600,12991,392,0.1986848475145442,98.09523809523809,HIGH,3.3333333333333335,8.0,4.666666666666666,0.0,ANOMALY,True,True,TP,Increased amplitude and frequency of spikes in Ch15 and Ch13,"The candidate shows a significant increase in amplitude and frequency of spikes, particularly in Ch15 and Ch13, compared"
1,machine-1-5,13608,13663,56,0.17035484686493874,83.80952380952381,MOD,3.3333333333333335,6.0,2.6666666666666665,3.5,NORMAL,False,False,FP,increased amplitude and frequency of peaks in Ch13 and Ch15,"The candidate shows noticeably increased amplitude and frequency in Ch13 and Ch15 compared to the baseline, indicating u"
1,machine-1-5,13888,14279,392,0.1809547714157296,93.80952380952381,HIGH,2.0,7.0,5.0,1.5,ANOMALY,True,True,TP,"Increased amplitude and frequency of spikes in Ch13, Ch14, and Ch15","The candidate shows a clear increase in amplitude and frequency of spikes compared to the baseline, indicating a signifi"
1,machine-1-5,14336,14951,616,0.18990587180649693,97.14285714285714,HIGH,3.0,8.0,5.0,0.0,ANOMALY,True,True,TP,"Increased amplitude and frequency variation in Ch15, Ch13, and Ch14.","The candidate shows a clear increase in amplitude and frequency variation compared to the baselines, indicating a signif"
1,machine-1-5,15344,15791,448,0.17239923815941438,88.09523809523809,MOD,3.0,5.0,2.0,2.5,NORMAL,False,False,FP,slight increase in amplitude and frequency variation in Ch13 and Ch15,"The candidate shows a noticeable increase in amplitude and variation compared to the baselines, indicating elevated acti"
1,machine-1-5,16352,16519,168,0.17202440005106232,87.14285714285714,MOD,3.0,5.0,2.0,2.5,NORMAL,False,False,FP,slight increase in amplitude and frequency of spikes in Ch5 and Ch15,"The candidate shows a noticeable increase in spike amplitude and frequency compared to the baselines, indicating elevate"
1,machine-1-5,19376,19431,56,0.17089309450238943,85.0,MOD,2.0,6.0,4.0,3.5,ANOMALY,True,False,FP,Increased amplitude and frequency of peaks in Ch13 and Ch5.,"The candidate shows noticeably higher peaks in Ch13 and Ch5 compared to the baseline, indicating elevated activity."
1,machine-1-5,19488,19599,112,0.16962528484873474,82.85714285714286,MOD,3.0,5.0,2.0,2.5,NORMAL,False,False,FP,slightly increased amplitude in Ch13 and Ch15,"The candidate shows a noticeable increase in amplitude in Ch13 and Ch15 compared to the baselines, indicating elevated a"
1,machine-1-5,20608,21559,952,0.17908218686523683,92.61904761904762,HIGH,3.3333333333333335,7.0,3.6666666666666665,1.5,ANOMALY,True,True,TP,Increased amplitude and frequency of spikes in Ch13 and Ch15,"The candidate panel shows a noticeable increase in spike amplitude and frequency, particularly in Ch13 and Ch15, compare"
1,machine-1-5,21952,22231,280,0.18003786052577198,93.0952380952381,HIGH,2.0,7.0,5.0,1.5,ANOMALY,True,True,TP,increased amplitude and frequency variation in Ch13 and Ch15,"The candidate shows a clear increase in amplitude and frequency variation compared to the baseline, indicating a signifi"
