entity,start,end,length,cand_score,verdict,confidence,observed_difference,key_channels,is_tp,ref_status,consensus_chs
machine-1-2,16912,17079,168,0.1689682232293611,ANOMALY,3,"Ch0 shows increased volatility and higher peaks compared to normal intervals. Ch2, Ch1, and Ch3 maintain relative positions but Ch0 deviates significa",Ch0,False,BA,"[0, 2, 1, 3]"
machine-1-2,18480,19039,560,0.16923364220419898,ANOMALY,3,"Ch0 shows increased variability and higher peaks compared to the normal reference panels. Ch1, Ch2, and Ch3 also show elevated levels and increased va","Ch0, Ch1, Ch2, Ch3",True,BA,"[0, 1, 2, 3]"
machine-1-2,19208,19431,224,0.1659341043094189,ANOMALY,3,Ch0 shows a significant increase in amplitude and variability not present in the normal panels. Ch2 and Ch3 also show increased variability and shifts,"Ch0, Ch2, Ch3",False,BA,"[0, 2, 1, 3]"
machine-1-2,20048,20439,392,0.1703887386496977,ANOMALY,3,"Ch3 shows a significant drop to near zero, a position it never occupies in the normal panels. This is a structural change absent in both before and af",Ch3,True,BA,"[0, 1, 3, 5]"
machine-1-2,20608,20887,280,0.16757898810785363,ANOMALY,3,"Ch0 shows a significant upward shift towards the end of the candidate interval, reaching a position it never occupies in the normal panels.",Ch0,False,BA,"[0, 1, 2, 32]"
machine-1-2,21784,22399,616,0.17483399862169594,ANOMALY,3,"Ch0 shows increased volatility and higher peaks compared to both before and after. Ch1, Ch2, and Ch3 maintain their relative positions but Ch0 deviate",Ch0,True,BA,"[0, 1, 2, 3]"
machine-1-2,22680,22959,280,0.16705605705734355,ANOMALY,3,"Ch0 shows a significant upward shift and increased variability in the candidate interval compared to both before and after. Ch1, Ch2, and Ch3 maintain",Ch0,False,BA,"[0, 1, 2, 3]"
machine-1-5,10416,10807,392,0.17936553633106606,ANOMALY,3,"Ch24 shows a significant increase in amplitude and occupies a higher position than in the normal panels, disrupting the usual relative positioning and",Ch24,True,BA,"[15, 13, 14, 24]"
machine-1-5,11704,11927,224,0.17520335788140073,ANOMALY,3,Ch24 shows a significant increase in amplitude and frequency of peaks compared to both before and after intervals.,Ch24,True,BA,"[15, 13, 14, 24]"
machine-1-5,12600,12991,392,0.1986848475145442,ANOMALY,3,"Ch13 shows a significant increase in amplitude and deviation from its normal pattern, not seen in the before and after panels.",Ch13,True,BA,"[15, 13, 14, 24]"
machine-1-5,13608,13663,56,0.17035484686493874,ANOMALY,3,"Ch15 shows a significant increase in amplitude and deviation from its normal range, disrupting its usual tracking behavior with Ch13 and Ch14.",Ch15,False,BA,"[13, 15, 14, 34]"
machine-1-5,13888,14279,392,0.1809547714157296,ANOMALY,3,"Ch15 shows a significant increase in amplitude, reaching values it does not occupy in the normal panels. Ch13 and Ch14 also show altered patterns with","Ch13, Ch14, Ch15",True,BA,"[13, 15, 14, 30]"
machine-1-5,14336,14951,616,0.18990587180649693,ANOMALY,3,Ch13 shows a significant increase in amplitude and shifts to a higher position than it occupies in the normal panels. Ch15 and Ch14 also show increase,"Ch13, Ch15, Ch14",True,BA,"[15, 13, 14, 30]"
machine-1-5,15344,15791,448,0.17239923815941438,ANOMALY,3,Ch22 shows a significant increase in amplitude and frequency of peaks in the candidate interval compared to both before and after panels.,Ch22,False,BA,"[13, 15, 14, 22]"
machine-1-5,16352,16519,168,0.17202440005106232,ANOMALY,3,"Ch14 shows a significant upward shift in the candidate interval, occupying a position it never reaches in the normal panels.",Ch14,False,BA,"[5, 15, 13, 14]"
machine-1-5,19376,19431,56,0.17089309450238943,ANOMALY,3,"Ch5 shows a significant deviation in amplitude and frequency compared to the normal reference panels, with peaks that are more pronounced and frequent",Ch5,False,BA,"[13, 5, 15, 14]"
machine-1-5,19488,19599,112,0.16962528484873474,ANOMALY,3,"Ch15 shows a significant increase in amplitude during the candidate interval compared to both before and after, disrupting the usual pattern.",Ch15,False,BA,"[13, 15, 5, 14]"
machine-1-5,20608,21559,952,0.17908218686523683,ANOMALY,3,Ch22 shows a significant increase in amplitude and frequency of peaks compared to both before and after intervals.,Ch22,True,BA,"[13, 15, 14, 22]"
machine-1-5,21952,22231,280,0.18003786052577198,ANOMALY,3,"Ch5 shows a significant drop in value during the candidate interval, which is not present in the normal reference panels. This drop disrupts the usual",Ch5,True,BA,"[13, 15, 5, 14]"
