case_id,case_type,ground_truth_label,model_answer,model_confidence,model_reason,parse_status
C3_007,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_008,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_009,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_010,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_011,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_012,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_013,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_014,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_015,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_016,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_017,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_018,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_019,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_020,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_021,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_022,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_023,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_024,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_025,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_026,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_027,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_028,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C3_029,C3,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_000,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_001,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_002,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_003,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_004,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_005,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_006,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_007,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_008,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_009,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_010,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_011,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_012,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_013,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_014,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_015,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_016,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_017,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_018,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_019,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_020,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_021,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_022,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_023,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_024,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_025,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_026,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_027,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_028,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C4_029,C4,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_000,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_001,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_002,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_003,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_004,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_005,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_006,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_007,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_008,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_009,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_010,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_011,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_012,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_013,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_014,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_015,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_016,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_017,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_018,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_019,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_020,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_021,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_022,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_023,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_024,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_025,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_026,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_027,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_028,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C5_029,C5,broken,broken,0.99,Mock response for pipeline validation.,OK
C6_000,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_001,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_002,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_003,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_004,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_005,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_006,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_007,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_008,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_009,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_010,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_011,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_012,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_013,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_014,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_015,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_016,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_017,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_018,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_019,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_020,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_021,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_022,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_023,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_024,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_025,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_026,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_027,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_028,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
C6_029,C6,maintained,maintained,0.99,Mock response for pipeline validation.,OK
