entity,start,end,length,score,verdict,confidence,key_difference,is_tp
machine-1-1,26488,26823,336,0.19060888793319464,ANOMALY,3,"In the candidate, Ch22, which normally runs high, drops significantly and remains low, while other channels like Ch0, Ch20, Ch19, ",False
machine-1-2,4536,4759,224,0.17483112745685503,ANOMALY,3,"In the candidate, Ch4 and Ch32 show significant divergence from their normal tracking behavior. Ch4 spikes to a higher position it",True
machine-1-2,5432,5599,168,0.1658699334754298,ANOMALY,3,"In the candidate, Ch5 and Ch32 show significant divergence from their normal tracking behavior. Ch5 spikes higher and more erratic",True
machine-1-2,5712,6103,392,0.17202706814610533,ANOMALY,3,"In the candidate, Ch5 and Ch32 show significant divergence from their normal tracking behavior. Ch5 spikes higher than in any norm",True
machine-1-2,6160,6943,784,0.17148417374119163,ANOMALY,3,"In the candidate, Ch5 and Ch6 show significant divergence from their normal tracking pattern. Ch5 exhibits more variability and hi",False
machine-1-2,7280,7503,224,0.16616800712654367,ANOMALY,3,"In the candidate, Ch4 shifts to a higher position than in any of the normal references, where it consistently runs lower. Addition",False
machine-1-2,7784,8007,224,0.16686960333026946,ANOMALY,3,"In the candidate, Ch0 shows a significant upward shift and divergence from its usual low position relative to other channels. Addi",False
machine-1-2,8288,8511,224,0.16660270473221317,ANOMALY,3,"In the candidate, Ch4 and Ch32 show significant divergence from their normal tracking behavior. Ch4 shifts to a higher position th",False
machine-1-2,11144,11423,280,0.16731184511445463,ANOMALY,3,"In the candidate, Ch4 shifts to a higher position than in any normal reference, and Ch5 and Ch32 show a divergence not seen in nor",False
machine-1-2,12432,13047,616,0.17101809913715857,ANOMALY,3,"In the candidate, Ch0 and Ch4 show a significant upward shift compared to the normal references, where they consistently run lower",False
machine-1-2,13384,13495,112,0.1665913627715785,ANOMALY,3,"In the candidate, Ch0 and Ch4 show a significant divergence from their normal tracking behavior observed in the reference images. ",False
machine-1-2,14616,14727,112,0.16549175354884937,ANOMALY,3,"In the candidate, Ch5 shows a significant spike at the beginning that is not present in the normal references. Additionally, Ch4 a",False
machine-1-2,15456,15679,224,0.16820922965416685,ANOMALY,3,"In the candidate, Ch0 and Ch4 show significant divergence from their normal tracking behavior. Ch0 rises to a higher position than",True
machine-1-2,15792,16071,280,0.17475550479721277,ANOMALY,3,"In the candidate, Ch4 shifts to a higher position than in any normal reference, and Ch6 shows a significant divergence from its us",True
machine-1-2,16912,17079,168,0.1689682232293611,ANOMALY,3,"In the candidate, Ch32 and Ch6 show significant divergence from their normal tracking behavior observed in the reference images. C",False
machine-1-2,18480,19039,560,0.16923364220419898,ANOMALY,3,"In the candidate, Ch4 shifts to a higher position than in any of the normal references, where it consistently runs lower. Addition",True
machine-1-2,19208,19431,224,0.1659341043094189,ANOMALY,3,"In the candidate, Ch4 is consistently higher than in the normal references, where it remains lower and stable. Additionally, Ch0 s",False
machine-1-2,20048,20439,392,0.1703887386496977,ANOMALY,3,"In the candidate, Ch4 shifts to a higher position than in any of the normal references, where it consistently runs lower. Addition",True
machine-1-2,20608,20887,280,0.16757898810785363,ANOMALY,3,"In the candidate, Ch5 and Ch0 maintain their positions, but Ch4 shifts significantly lower compared to the normal references. Addi",False
machine-1-2,21784,22399,616,0.17483399862169594,ANOMALY,3,"In the candidate, Ch4 is at a higher position than in any of the normal references, where it consistently runs lower. This indicat",True
machine-1-2,22680,22959,280,0.16705605705734355,ANOMALY,3,"In the candidate, Ch0 (orange) and Ch4 (purple) diverge significantly from their usual positions and tracking behavior seen in the",False
machine-1-5,10416,10807,392,0.17936553633106606,NORMAL,2,The inter-channel relationships and relative positions in the candidate are consistent with the normal references. No significant ,True
machine-1-5,11704,11927,224,0.17520335788140073,ANOMALY,3,"In the candidate, Ch22 shows a significant upward shift compared to the normal references, where it consistently runs lower. This ",True
machine-1-5,12600,12991,392,0.1986848475145442,ANOMALY,3,"In the candidate, channels that normally run low (e.g., Ch13, Ch22) have shifted to higher positions, and Ch5 shows a significant ",True
machine-1-5,13608,13663,56,0.17035484686493874,ANOMALY,3,"In the candidate, Ch5 drops significantly in value compared to the normal references where it consistently runs high. This shift i",False
machine-1-5,13888,14279,392,0.1809547714157296,ANOMALY,3,"In the candidate, Ch22 and Ch35, which normally track closely together at lower values, show a divergence with Ch35 rising signifi",True
machine-1-5,14336,14951,616,0.18990587180649693,ANOMALY,3,"In the candidate, Ch13 and Ch22 have shifted to higher positions compared to the normal references, where they typically run lower",True
machine-1-5,15344,15791,448,0.17239923815941438,ANOMALY,3,"In the candidate, Ch22 (green) and Ch35 (purple) show a noticeable divergence compared to the normal references where they closely",False
machine-1-5,16352,16519,168,0.17202440005106232,ANOMALY,3,"In the candidate, Ch5 shows a noticeable dip around the middle of the interval, which is not present in any of the normal referenc",False
machine-1-5,19376,19431,56,0.17089309450238943,ANOMALY,3,"In the candidate, Ch5 and Ch15, which normally run high and track closely together, have diverged significantly. Ch5 remains high,",False
machine-1-5,19488,19599,112,0.16962528484873474,ANOMALY,3,"In the candidate, Ch35 is significantly lower than in the normal references, where it consistently runs high. This indicates a str",False
machine-1-5,20608,21559,952,0.17908218686523683,NORMAL,3,The inter-channel relationships in the candidate image are consistent with the normal references. Channels maintain their relative,True
machine-1-5,21952,22231,280,0.18003786052577198,ANOMALY,3,"In the candidate, Ch5 shows a significant dip that is not present in any of the normal references, where it consistently runs high",True
