pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_s,anom_s,reason
1,machine-1-2,18480,19039,560,0.16923364220419898,88.33333333333333,MOD,ANOMALY,3,True,True,TP,moderate,strong,"The score is elevated at 88th percentile with a clear level shift in Ch0, supporting the anomaly hypothesis."
1,machine-1-2,19208,19431,224,0.1659341043094189,80.0,LOW,NORMAL,1,False,False,FP,moderate,moderate,"The score is modestly elevated but within natural variation, and visual evidence is ambiguous."
1,machine-1-2,20048,20439,392,0.1703887386496977,89.52380952380953,MOD,ANOMALY,3,True,True,TP,weak,strong,"The score is elevated at the 90th percentile, and Ch0 exhibits a significant level shift not seen in baselines."
1,machine-1-2,20608,20887,280,0.16757898810785363,84.76190476190476,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at 85th percentile with a clear level shift in Ch0, indicating an anomaly."
1,machine-1-2,21784,22399,616,0.17483399862169594,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear level shift in Ch0 not present in baselines indicate strong anomaly evidence.
1,machine-1-2,22680,22959,280,0.16705605705734355,83.57142857142857,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The score is elevated but within natural variation, and visual evidence shows only moderate deviation."
1,machine-1-5,10416,10807,392,0.17936553633106606,92.85714285714286,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and specific channel changes indicate anomaly despite some baseline consistency.
1,machine-1-5,11704,11927,224,0.17520335788140073,91.19047619047619,MOD,NORMAL,2,False,True,TP,moderate,moderate,"Score is elevated but visual evidence shows changes are within natural variation, leading to a normal verdict with some "
1,machine-1-5,12600,12991,392,0.1986848475145442,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and specific channel deviations indicate a strong anomaly despite some visual consistency.
1,machine-1-5,13608,13663,56,0.17035484686493874,83.80952380952381,MOD,ANOMALY,3,True,False,FP,moderate,strong,Anomaly hypothesis is clearly stronger due to specific channel changes and elevated scores.
1,machine-1-5,13888,14279,392,0.1809547714157296,93.80952380952381,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear channel deviations indicate anomaly despite some baseline consistency.
1,machine-1-5,14336,14951,616,0.18990587180649693,97.14285714285714,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and specific channel deviations indicate anomaly despite some visual consistency.
1,machine-1-5,15344,15791,448,0.17239923815941438,88.09523809523809,MOD,ANOMALY,3,True,False,FP,moderate,strong,"The score is elevated at 88th percentile with specific channel shifts, indicating a strong anomaly."
1,machine-1-5,16352,16519,168,0.17202440005106232,87.14285714285714,MOD,ANOMALY,3,True,False,FP,weak,strong,Score is elevated at 87th percentile with clear visual evidence of channel shifts and spikes.
1,machine-1-5,19376,19431,56,0.17089309450238943,85.0,MOD,ANOMALY,3,True,False,FP,moderate,strong,"Score is moderately elevated with clear amplitude spikes in specific channels, indicating an anomaly."
1,machine-1-5,19488,19599,112,0.16962528484873474,82.85714285714286,MOD,ANOMALY,2,True,False,FP,moderate,moderate,Score slightly elevated with visual evidence of amplitude spikes in specific channels.
1,machine-1-5,20608,21559,952,0.17908218686523683,92.61904761904762,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and clear visual evidence of channel deviations support anomaly.
1,machine-1-5,21952,22231,280,0.18003786052577198,93.0952380952381,HIGH,ANOMALY,3,True,True,TP,weak,strong,High prior score and specific channel shifts indicate anomaly despite some visual consistency.
