case_id,scenario,n_affected,lag,true_root,pred_root,root_correct,true_onset,pred_onset,onset_abs_error,model_confidence,model_reason,parse_status
NA0_LAG50_000,NA0_LAG50,0.0,50.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_001,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_002,NA0_LAG50,0.0,50.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_003,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_004,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_005,NA0_LAG50,0.0,50.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_006,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it is the root cause. No other channels show anomalies.",OK
NA0_LAG50_007,NA0_LAG50,0.0,50.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_008,NA0_LAG50,0.0,50.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_009,NA0_LAG50,0.0,50.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, suggesting it is the root cause. No other channels show anomalies.",OK
NA0_LAG50_010,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause.",OK
NA0_LAG50_011,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_012,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_013,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause.",OK
NA0_LAG50_014,NA0_LAG50,0.0,50.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_015,NA0_LAG50,0.0,50.0,6,6,True,100.0,100.0,0.0,1.0,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_016,NA0_LAG50,0.0,50.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_017,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,1.0,"Channel 1 is the only channel with an anomaly detected, and no other channels show any anomalies.",OK
NA0_LAG50_018,NA0_LAG50,0.0,50.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, suggesting it is the root cause. No other channels show anomalies.",OK
NA0_LAG50_019,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_020,NA0_LAG50,0.0,50.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_021,NA0_LAG50,0.0,50.0,3,3,True,100.0,100.0,0.0,0.95,"Channel 3 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_022,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_023,NA0_LAG50,0.0,50.0,2,2,True,100.0,100.0,0.0,0.95,"Channel 2 is the only one with an anomaly detected, suggesting it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_024,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_025,NA0_LAG50,0.0,50.0,6,6,True,100.0,100.0,0.0,0.95,"Channel 6 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_026,NA0_LAG50,0.0,50.0,1,1,True,100.0,100.0,0.0,0.95,"Channel 1 is the only channel with an anomaly, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_027,NA0_LAG50,0.0,50.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA0_LAG50_028,NA0_LAG50,0.0,50.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 is the only one with an anomaly detected, indicating it as the root cause.",OK
NA0_LAG50_029,NA0_LAG50,0.0,50.0,4,4,True,100.0,100.0,0.0,0.95,"Channel 4 is the only one with an anomaly detected, indicating it as the root cause. No other channels show anomalies.",OK
NA1_LAG10_000,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 anomaly onset is earlier than Channel 3, both with the same breakdown type and intensity, suggesting Channel 5 as the root cause.",OK
NA1_LAG10_001,NA1_LAG10,1.0,10.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2 shares the same breakdown type and occurs shortly after, indicating it may be affected.",OK
NA1_LAG10_002,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG10_003,NA1_LAG10,1.0,10.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 3 shares the same breakdown type and occurs shortly after, indicating it may be affected.",OK
NA1_LAG10_004,NA1_LAG10,1.0,10.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 4 shares the same breakdown type and occurs after Channel 6.",OK
NA1_LAG10_005,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 anomaly onset is earlier than Channel 1, suggesting it as the root cause. Channel 1 is affected due to its later onset.",OK
NA1_LAG10_006,NA1_LAG10,1.0,10.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 anomaly onset is earlier than Channel 4, suggesting it as the root cause. Channels 1, 2, 3, and 5 show no anomalies.",OK
NA1_LAG10_007,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the earliest anomaly onset at step 100 with breakdown_type C1, and Channel 6 shows a similar anomaly shortly after, suggesting it is affected by Channel 2.",OK
NA1_LAG10_008,NA1_LAG10,1.0,10.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 1 shows a similar breakdown type with a later onset, indicating it may be affected.",OK
NA1_LAG10_009,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs shortly after, possibly as a consequence.",OK
NA1_LAG10_010,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 anomaly onset is earlier than Channel 2, suggesting it as the root cause. Channel 2 could be affected due to its proximity in onset time.",OK
NA1_LAG10_011,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the first anomaly at step 100 with a higher intensity, suggesting it as the root cause. Channel 6 follows with a similar breakdown type and lower intensity, indicating it may be affected by Channel 5.",OK
NA1_LAG10_012,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.95,"Channel 5 shows the first anomaly at step 100, followed by Channel 6 with the same breakdown type and intensity, suggesting a causal relationship.",OK
NA1_LAG10_013,NA1_LAG10,1.0,10.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 shows the earliest anomaly onset and shares the same breakdown type with Channel 2, suggesting it as the root cause.",OK
NA1_LAG10_014,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100 with a significant intensity, suggesting it as the root cause. Channel 5 shows a weaker anomaly shortly after, likely as a consequence.",OK
NA1_LAG10_015,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 4 shows a similar breakdown type and follows shortly after.",OK
NA1_LAG10_016,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100, followed by Channel 5 at step 110, suggesting Channel 2 as the root cause.",OK
NA1_LAG10_017,NA1_LAG10,1.0,10.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 1 shows a similar breakdown type after Channel 3.",OK
NA1_LAG10_018,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100 with a higher intensity, suggesting it as the root cause. Channel 4 shows a similar breakdown type shortly after, indicating it may be affected by Channel 2.",OK
NA1_LAG10_019,NA1_LAG10,1.0,10.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG10_020,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100, followed by Channel 6 at step 110, suggesting Channel 2 as the root cause.",OK
NA1_LAG10_021,NA1_LAG10,1.0,10.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 anomaly starts earlier than Channel 2, suggesting it as the root cause. Channels 1, 4, 5, and 6 show no anomalies.",OK
NA1_LAG10_022,NA1_LAG10,1.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the first anomaly at step 100, followed by Channel 6 at step 110, suggesting Channel 5 as the root cause.",OK
NA1_LAG10_023,NA1_LAG10,1.0,10.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 shows the first anomaly at step 100, followed by Channel 6 at step 110, suggesting a causal relationship. Other channels show no anomalies.",OK
NA1_LAG10_024,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100, and Channel 4 shows a similar anomaly shortly after, suggesting a causal relationship.",OK
NA1_LAG10_025,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 anomaly onset is earlier than Channel 1, suggesting it as the root cause. Channel 1 is affected due to its later onset and similar intensity.",OK
NA1_LAG10_026,NA1_LAG10,1.0,10.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 3 shows a similar breakdown type with a delay, indicating it is affected. Other channels show no anomalies.",OK
NA1_LAG10_027,NA1_LAG10,1.0,10.0,2,2,True,100.0,100.0,0.0,0.85,Channel 2 shows the earliest anomaly onset and could have influenced Channel 3.,OK
NA1_LAG10_028,NA1_LAG10,1.0,10.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 5 follows with a similar breakdown type and later onset.",OK
NA1_LAG10_029,NA1_LAG10,1.0,10.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 shows the first anomaly at step 100 with a higher intensity, suggesting it as the root cause. Channel 6 shows a similar breakdown type shortly after, indicating it may be affected.",OK
NA1_LAG50_000,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2 shows a similar breakdown type with a delayed onset and lower intensity, indicating it may be affected by Channel 1.",OK
NA1_LAG50_001,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 shows the first anomaly at step 100, and Channel 5 shows a subsequent anomaly at step 150, possibly as a consequence.",OK
NA1_LAG50_002,NA1_LAG50,1.0,50.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's later onset and lower intensity suggest it is affected by Channel 5.",OK
NA1_LAG50_003,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 shows the earliest anomaly onset and shares the same breakdown type and intensity with Channel 2, suggesting it as the root cause. Channels 3-6 show no anomalies.",OK
NA1_LAG50_004,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 shows the first anomaly at step 100 with a significant intensity, suggesting it as the root cause. Channel 5's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG50_005,NA1_LAG50,1.0,50.0,6,6,True,100.0,100.0,0.0,0.95,"Channel 6 shows the earliest anomaly onset at step 100, suggesting it as the root cause. Channel 5's anomaly occurs later at step 150, likely as a consequence.",OK
NA1_LAG50_006,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's later onset and lower intensity suggest it is affected by Channel 3.",OK
NA1_LAG50_007,NA1_LAG50,1.0,50.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG50_008,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG50_009,NA1_LAG50,1.0,50.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 anomaly occurs first at step 100, followed by Channel 1 at step 150 with the same breakdown type.",OK
NA1_LAG50_010,NA1_LAG50,1.0,50.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 1 shows a later anomaly with the same breakdown type, indicating it may be affected by Channel 2.",OK
NA1_LAG50_011,NA1_LAG50,1.0,50.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100 with a higher intensity, suggesting it as the root cause. Channel 4 shows a related anomaly later with the same breakdown type.",OK
NA1_LAG50_012,NA1_LAG50,1.0,50.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 anomaly occurs first at step 100, potentially causing the anomaly in Channel 1 at step 150.",OK
NA1_LAG50_013,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later and could be a consequence.",OK
NA1_LAG50_014,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 shows the first anomaly at step 100, and Channel 5 shows a similar anomaly later at step 150, suggesting it may be affected by Channel 3.",OK
NA1_LAG50_015,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG50_016,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 5 shows a similar breakdown type with a delayed onset, indicating it may be affected.",OK
NA1_LAG50_017,NA1_LAG50,1.0,50.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 shows the first anomaly at step 100 with a higher intensity, suggesting it as the root cause. Channel 5 shows a related anomaly later, possibly as a consequence.",OK
NA1_LAG50_018,NA1_LAG50,1.0,50.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the earliest anomaly onset at step 100 with the same breakdown type and intensity as Channel 1, suggesting it as the root cause. Channel 1 is affected due to the same breakdown type and intensity appearing later.",OK
NA1_LAG50_019,NA1_LAG50,1.0,50.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 shows the earliest anomaly onset at step 100, potentially causing the anomaly in Channel 1 at step 150.",OK
NA1_LAG50_020,NA1_LAG50,1.0,50.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 5's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG50_021,NA1_LAG50,1.0,50.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the first anomaly at step 100, followed by Channel 6 at step 150 with the same breakdown type and intensity, suggesting Channel 6 is affected by Channel 5.",OK
NA1_LAG50_022,NA1_LAG50,1.0,50.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 1's later onset and lower intensity suggest it is affected by Channel 5.",OK
NA1_LAG50_023,NA1_LAG50,1.0,50.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 1's later onset and lower intensity suggest it is affected by Channel 4.",OK
NA1_LAG50_024,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 3 shows a related anomaly with the same breakdown type after a delay.",OK
NA1_LAG50_025,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 shows the earliest anomaly onset at step 100, potentially causing the anomaly in Channel 2 at step 150.",OK
NA1_LAG50_026,NA1_LAG50,1.0,50.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 2's anomaly occurs later, possibly as a consequence.",OK
NA1_LAG50_027,NA1_LAG50,1.0,50.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 5's anomaly occurs later and with lower intensity, indicating it may be a consequence.",OK
NA1_LAG50_028,NA1_LAG50,1.0,50.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the earliest anomaly onset at step 100, potentially causing the anomaly in Channel 4 at step 150.",OK
NA1_LAG50_029,NA1_LAG50,1.0,50.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channel 5's later anomaly may be a consequence.",OK
NA2_LAG10_000,NA2_LAG10,2.0,10.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channels 2 and 6 have similar onset times and lower intensities, indicating they may be affected by Channel 4.",OK
NA2_LAG10_001,NA2_LAG10,2.0,10.0,1,1,True,100.0,100.0,0.0,0.85,"Channel 1 is the first to show an anomaly at step 100, with subsequent anomalies in Channels 4 and 5 at step 110, suggesting a causal relationship.",OK
NA2_LAG10_002,NA2_LAG10,2.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 is the first to show an anomaly at step 100, followed by Channels 3 and 6 at step 110 with the same breakdown type and intensity.",OK
NA2_LAG10_003,NA2_LAG10,2.0,10.0,2,2,True,100.0,100.0,0.0,0.85,"Channel 2 has the earliest anomaly onset and highest intensity, suggesting it as the root cause. Channels 1 and 6 have similar onset times and intensities, indicating they may be affected by Channel 2.",OK
NA2_LAG10_004,NA2_LAG10,2.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the earliest anomaly onset at step 100 with a breakdown type C2, which matches Channel 1's breakdown type and onset shortly after. Channel 6, although different in breakdown type, shows a delayed response at the same time as Channel 1.",OK
NA2_LAG10_005,NA2_LAG10,2.0,10.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 has the earliest anomaly onset with the highest intensity, suggesting it as the root cause. Channels 1 and 6 show anomalies of the same type shortly after.",OK
NA2_LAG10_006,NA2_LAG10,2.0,10.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 is the first to show an anomaly at step 100, followed by channels 4 and 6 at step 110, suggesting a causal relationship.",OK
NA2_LAG10_007,NA2_LAG10,2.0,10.0,5,5,True,100.0,100.0,0.0,0.85,"Channel 5 shows the earliest anomaly onset at step 100 with breakdown type C2 and intensity 1.0, suggesting it as the root cause. Channels 3 and 6 show similar breakdown types and intensities after channel 5, indicating they are affected.",OK
NA2_LAG10_008,NA2_LAG10,2.0,10.0,6,6,True,100.0,100.0,0.0,0.85,"Channel 6 shows the earliest onset of the same breakdown type with high intensity, suggesting it as the root cause. Channels 1 and 4 show the same breakdown type after Channel 6, indicating they are affected.",OK
NA2_LAG10_009,NA2_LAG10,2.0,10.0,3,3,True,100.0,100.0,0.0,0.85,"Channel 3 has the earliest anomaly onset with the highest intensity, suggesting it as the root cause. Channels 2 and 5 have similar breakdown types and onset times, indicating they are affected.",OK
NA2_LAG10_010,NA2_LAG10,2.0,10.0,4,4,True,100.0,100.0,0.0,0.85,"Channel 4 has the earliest onset and highest intensity, suggesting it as the root cause. Channels 3 and 6 show anomalies shortly after with related breakdown types.",OK
