pass,entity,start,end,length,csc,pct,prior,verdict,conf,keep,is_tp,flag,norm_strength,anom_strength,normal_hypothesis,anomaly_hypothesis,reasoning
1,machine-1-1,18256,18647,392,0.21223680369023765,99.00990099009901,HIGH,ANOMALY,3,True,True,TP,weak,strong,The candidate window could be considered normal if the observed variations are within the expected r,"Channels Ch0, Ch20, and Ch2 exceed the y=1.0 line, with Ch0 reaching approximately y=2.5, indicating","Given the high anomaly percentile and clear exceedance of the training maximum in multiple channels, the evidence strong"
1,machine-1-1,19656,20271,616,0.20247541478073056,97.82178217821782,HIGH,ANOMALY,3,True,True,TP,weak,strong,The candidate window could be considered normal if the exceedances are minor and similar variations ,"Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=2.5, indicatin","Given the high anomaly percentile and clear exceedance of normal operating ranges in multiple channels, the evidence str"
1,machine-1-1,20944,21391,448,0.19882525503635406,95.04950495049505,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some values within the normal range, with most channels staying below the","Channels Ch0, Ch20, Ch34, and Ch35 exceed the y=1.0 line, with Ch0 reaching approximately y=1.4, ind","Given the high prior and clear exceedance of normal operating range in multiple channels, the evidence strongly supports"
1,machine-1-1,22120,22511,392,0.19810168777725526,91.68316831683168,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the y=[0,1] range, indicating potential normal variati","Channels Ch0, Ch20, Ch19, and Ch21 all exceed the y=1.0 line, with Ch0 reaching approximately y=1.8,","Given the high prior and significant exceedance of the training maximum in multiple channels, the evidence strongly supp"
1,machine-1-1,23632,24079,448,0.20100796251790598,94.65346534653465,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows values that are mostly within the y=[0,1] range, suggesting normal variat","Channels Ch0, Ch20, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.7, indicatin","Given the high prior and clear exceedance of training maximums in multiple channels, the evidence strongly supports an a"
1,machine-1-1,24976,25311,336,0.19904464211625358,92.87128712871288,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the y=[0,1] range, suggesting potential normal variati","Channels Ch0, Ch19, and Ch21 exceed the y=1.0 line, with Ch0 reaching approximately y=1.7, indicatin","Given the high prior strength and clear exceedance of normal operating range in multiple channels, the evidence strongly"
1,machine-1-1,26488,26823,336,0.19060888793319464,84.75247524752476,MOD,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows values mostly within the y=[0,1] range, indicating normal operation. The ","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This exceedance ","With a moderate prior and evidence of minimal exceedance, the normal variation argument is slightly stronger, but ambigu"
2,machine-1-1,24511,24734,224,0.18274092725810728,73.46534653465346,,NORMAL,1,False,True,TP,,,,,"Given the low prior and modest anomaly score, the evidence for normal variation is roughly balanced with the anomaly hyp"
2,machine-1-1,25946,26169,224,0.17672154369315,59.603960396039604,,NORMAL,2,False,True,TP,,,,,"Given the low prior strength and modest anomaly percentile, the evidence for normal variation is stronger, with only min"
2,machine-1-1,27442,27665,224,0.17998467757466383,67.92079207920793,,NORMAL,3,False,True,TP,,,,,"Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-2,4536,4759,224,0.17483112745685503,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,moderate,strong,"The candidate window shows values mostly within the y=[0,1] range, suggesting normal variation. The ","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This exceedance ","Given the high anomaly percentile and clear exceedance in Ch0 absent in training, the evidence strongly supports an anom"
1,machine-1-2,5432,5599,168,0.1658699334754298,77.38095238095238,LOW,NORMAL,1,False,True,TP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal variati","Ch0 exceeds the y=1.0 line, reaching approximately y=1.1, indicating a level shift. This exceedance ","With a low prior and modest score elevation, the evidence for normal variation is balanced against the anomaly, leading "
1,machine-1-2,5712,6103,392,0.17202706814610533,98.80952380952381,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some variation, but most channel values remain within the y=[0,1] range. ","Channels Ch0, Ch5, and Ch24 exceed the y=1.0 line, with Ch0 reaching approximately y=1.4, indicating","Given the high anomaly percentile and clear exceedance of training max in multiple channels, the evidence strongly suppo"
1,machine-1-2,6160,6943,784,0.17148417374119163,97.38095238095238,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some values within the y=[0,1] range, suggesting potential normal variati","Channels Ch6, Ch5, and Ch0 exceed the y=1.0 line, with Ch6 reaching approximately y=1.2, indicating ","Given the high anomaly percentile and clear exceedance of normal range in multiple channels, the evidence strongly suppo"
1,machine-1-2,7280,7503,224,0.16616800712654367,80.95238095238095,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Ch0 and Ch1 show slight exceedance above the y=1.0 line, with Ch0 reaching approximately 1.1 and Ch1","Given the low prior strength and modest anomaly score, the evidence for normal variation is stronger, with only minor ex"
1,machine-1-2,7784,8007,224,0.16686960333026946,83.0952380952381,MOD,ANOMALY,2,True,False,FP,moderate,moderate,"The candidate window shows some variation, but most channel values remain within the y=[0,1] range, ","Ch0 and Ch6 exceed the y=1.0 line, with Ch0 reaching approximately y=1.1 and Ch6 reaching y=1.05, in","The anomaly percentile is elevated at 83.1th, and visual evidence shows exceedance in Ch0 and Ch6 not present in trainin"
1,machine-1-2,8288,8511,224,0.16660270473221317,82.38095238095238,MOD,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows values for all channels within the y=[0,1] range, indicating they are bel","No channels exceed the y=1.0 line, so there are no values above the training maximum. Therefore, no ","With a moderate prior and all channel values within the normal range, the visual evidence strongly supports normal varia"
1,machine-1-2,11144,11423,280,0.16731184511445463,86.66666666666667,MOD,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are below th","No channels exceed the y=1.0 line, so there is no evidence of level shift, divergence, amplitude spi","The score is elevated but not extreme, and visual evidence shows all channels within normal range, supporting the normal"
1,machine-1-2,12432,13047,616,0.17101809913715857,96.42857142857143,HIGH,ANOMALY,3,True,False,FP,weak,strong,"The candidate window shows some channel values within the y=[0,1] range, suggesting normal variation","Channels Ch0, Ch1, and Ch2 exceed the y=1.0 line, with Ch0 reaching approximately y=1.2, indicating ","Given the high prior strength and clear exceedance of normal operating range in multiple channels, the evidence strongly"
1,machine-1-2,13384,13495,112,0.1665913627715785,75.47619047619048,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the y=1.0 line, so there is no evidence of an anomaly based on the training maxim","With a low prior and no exceedance of the training maximum, the evidence strongly supports normal variation."
1,machine-1-2,14616,14727,112,0.16549175354884937,72.14285714285714,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows values that are mostly within the y=[0,1] range, indicating normal variat","Ch0 and Ch1 show slight exceedances above the y=1.0 line, with Ch0 reaching approximately y=1.1. The","Given the low prior strength and modest anomaly percentile, the evidence for normal variation is stronger, with only min"
1,machine-1-2,15456,15679,224,0.16820922965416685,87.38095238095238,MOD,NORMAL,2,False,True,TP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal variati","Ch0 exceeds the y=1.0 line, reaching approximately y=1.1, indicating a level shift. This exceedance ","With a moderate prior and visual evidence showing only minor exceedance, the normal hypothesis is slightly stronger."
1,machine-1-2,15792,16071,280,0.17475550479721277,99.28571428571429,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some channel values within the normal range, particularly Ch1 and Ch2, wh","Ch0 and Ch5 exceed the y=1.0 line, with Ch0 reaching approximately 1.2 and Ch5 reaching around 1.1, ","Given the high prior and clear exceedance of Ch0 and Ch5 above the training maximum, the evidence strongly supports an a"
1,machine-1-2,16912,17079,168,0.1689682232293611,85.47619047619047,MOD,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows channel values that are mostly within the y=[0,1] range, indicating norma","Ch0 and Ch2 show values slightly above the y=1.0 line, indicating a minor exceedance of the normal r","With a moderate prior and evidence of minor exceedances that could be normal variation, the normal hypothesis is slightl"
1,machine-1-2,18480,19039,560,0.16923364220419898,93.33333333333333,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This exceedance ","Given the high prior and clear exceedance in Ch0 not seen in training, the evidence strongly supports an anomaly."
1,machine-1-2,19208,19431,224,0.1659341043094189,80.0,LOW,NORMAL,3,False,False,FP,strong,weak,"The candidate window shows all channel values within the y=[0,1] range, indicating they are within t","No channels exceed the y=1.0 line, so there is no evidence of a level shift, divergence, amplitude s","With a low prior and no channels exceeding the normal range, the evidence strongly supports the normal hypothesis."
1,machine-1-2,20048,20439,392,0.1703887386496977,94.76190476190476,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows values for Ch0, Ch1, Ch3, and Ch5 mostly within the y=[0,1] range, indica","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This exceedance ","Given the high prior and the clear exceedance of Ch0 above the training maximum, the evidence strongly supports an anoma"
1,machine-1-2,20608,20887,280,0.16757898810785363,87.61904761904762,MOD,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows values mostly within the y=[0,1] range, indicating normal variation. The ","Ch0 and Ch1 show values slightly above the y=1.0 line, indicating a minor level shift. This exceedan","With a moderate prior and visual evidence showing only slight exceedance, the normal variation argument is slightly stro"
1,machine-1-2,21784,22399,616,0.17483399862169594,100.0,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows values that are mostly within the normal range, with some fluctuations th","Channels Ch0 and Ch1 exceed the y=1.0 line, with Ch0 reaching approximately 1.2 and Ch1 reaching abo","Given the high anomaly percentile and clear exceedance of the normal range in multiple channels, the evidence strongly s"
1,machine-1-2,22680,22959,280,0.16705605705734355,85.0,MOD,ANOMALY,2,True,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Ch0 exceeds the y=1.0 line, reaching approximately y=1.2, indicating a level shift. This exceedance ","With a moderate prior and visual evidence showing Ch0 exceeding the normal range, the anomaly hypothesis is slightly str"
2,machine-1-2,15191,15414,224,0.15457953328628501,85.95238095238096,,NORMAL,3,False,False,FP,,,,,"With a moderate prior and all channel values within normal range, the visual evidence strongly supports normal operation"
2,machine-1-2,22981,23204,224,0.15955947260226822,79.52380952380952,,NORMAL,3,False,True,TP,,,,,"Given the low prior strength and the absence of any channel exceeding the normal range, the evidence strongly supports t"
1,machine-1-5,10416,10807,392,0.17936553633106606,95.47619047619048,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window could be considered normal if the observed values are within the y=[0,1] range.","Channels 15, 13, and 14 show values exceeding the y=1.0 line, with Ch15 reaching approximately 1.2, ","Given the high prior and clear exceedance of normal operating range in multiple channels, the evidence strongly supports"
1,machine-1-5,11704,11927,224,0.17520335788140073,91.19047619047619,HIGH,ANOMALY,3,True,True,TP,moderate,strong,"The candidate window shows values mostly within the y=[0,1] range, indicating normal operation. The ","Channels Ch15, Ch13, and Ch14 show values exceeding the y=1.0 line, with Ch15 reaching approximately","Given the high anomaly percentile and clear exceedance of normal range in multiple channels, the evidence strongly suppo"
1,machine-1-5,12600,12991,392,0.1986848475145442,100.0,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window could be considered normal if the channel values remain within the y=[0,1] rang","Channels 15, 13, and 14 show values exceeding the y=1.0 line, with Ch15 reaching approximately y=1.2","Given the high prior and clear exceedance of normal range in multiple channels, the evidence strongly supports an anomal"
1,machine-1-5,13608,13663,56,0.17035484686493874,80.47619047619048,LOW,NORMAL,2,False,False,FP,moderate,weak,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Channels Ch13, Ch15, and Ch14 show values slightly above the y=1.0 line, indicating a minor level sh","Given the low prior strength and modest anomaly score, the evidence for normal variation is stronger, with only slight e"
1,machine-1-5,13888,14279,392,0.1809547714157296,96.42857142857143,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some values within the y=[0,1] range, indicating potential normal variati","Channels Ch13, Ch15, and Ch14 show values exceeding the y=1.0 line, with Ch13 reaching approximately","Given the high anomaly percentile and clear exceedance of normal operating limits in multiple channels, the evidence str"
1,machine-1-5,14336,14951,616,0.18990587180649693,99.52380952380952,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window could be considered normal if the channel values remain within the y=[0,1] rang","Channels Ch15, Ch13, and Ch14 exceed the y=1.0 line, with Ch15 reaching approximately 1.3, indicatin","Given the high anomaly percentile and clear exceedance of normal range in multiple channels, the evidence strongly suppo"
1,machine-1-5,15344,15791,448,0.17239923815941438,90.23809523809524,MOD,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal variati","Channels Ch13, Ch15, and Ch14 show values slightly above the y=1.0 line, indicating a minor level sh","With a moderate prior and visual evidence showing only slight exceedances, the evidence is balanced, leaning slightly to"
1,machine-1-5,16352,16519,168,0.17202440005106232,85.23809523809524,MOD,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Channels Ch5, Ch15, and Ch13 show values slightly above the y=1.0 line, indicating a minor level shi","With a moderate prior and evidence of minor exceedance, the normal variation argument is slightly stronger, but the evid"
1,machine-1-5,19376,19431,56,0.17089309450238943,83.57142857142857,MOD,NORMAL,2,False,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Channels Ch13, Ch5, and Ch15 show spikes that exceed the y=1.0 line, with Ch13 reaching approximatel","With a moderate prior and visual evidence showing some exceedance but also similarity to training patterns, the normal h"
1,machine-1-5,19488,19599,112,0.16962528484873474,83.57142857142857,MOD,NORMAL,1,False,False,FP,moderate,moderate,"The candidate window shows channel values mostly within the y=[0,1] range, indicating normal operati","Channels 13, 15, and 14 show values slightly exceeding the y=1.0 line, indicating a minor level shif","Given the moderate prior and the visual evidence showing only slight exceedance, the normal variation argument is slight"
1,machine-1-5,20608,21559,952,0.17908218686523683,98.09523809523809,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some values within the normal range (y=[0,1]), suggesting potential norma","Channels Ch13, Ch15, and Ch14 exceed the y=1.0 line, with Ch13 reaching approximately 1.2, indicatin","Given the high anomaly percentile and clear exceedance of training maximums in multiple channels, the evidence strongly "
1,machine-1-5,21952,22231,280,0.18003786052577198,94.28571428571428,HIGH,ANOMALY,3,True,True,TP,weak,strong,"The candidate window shows some values within the y=[0,1] range, indicating normal operation for cer","Channels 13, 15, and 14 show values exceeding the y=1.0 line, with Ch13 reaching approximately 1.2, ","Given the high anomaly percentile and clear exceedance of the training maximum in multiple channels, the evidence strong"
