case_id,status,judge_status,case_type,ground_truth_label,model_answer,model_confidence,model_reason,reason_type,judge_rationale
C1_003,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C1_004,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C1_005,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where they diverge significantly before realigning.",relational,The reason describes divergence and realignment between the channels.
C1_006,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the 100-150 time step interval, where they diverge significantly, and does not fully recover.",relational,The reason describes divergence between Channel A and Channel B.
C1_007,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B deviates significantly from Channel A before realigning.",relational,The reason compares the deviation and realignment of Channel A and Channel B.
C1_008,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,The reason compares the divergence between Channel A and Channel B.
C1_009,OK,OK,C1,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the channels moving closely together and maintaining a phase relationship.
C1_010,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the peak near time step 100, where Channel B deviates significantly from Channel A, and does not fully recover to the previous level of synchronization.",relational,The reason compares the deviation between Channel A and Channel B.
C1_011,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C1_012,OK,OK,C1,broken,broken,0.9,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly before realigning.,relational,The reason compares the divergence and realignment of the channels.
C1_013,OK,OK,C1,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C1_014,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the 100-150 time step interval, where they diverge significantly, and does not fully recover.",relational,The reason describes divergence between Channel A and Channel B.
C1_015,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-150 time step interval where they diverge significantly.,relational,The reason describes divergence between Channel A and Channel B.
C1_016,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down significantly between time steps 100 and 200, where they diverge and do not move together.",relational,The reason describes divergence between Channel A and Channel B.
C1_017,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,The reason compares the divergence between Channel A and Channel B.
C1_018,OK,OK,C1,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes a consistent pattern and phase relationship between the channels.
C1_019,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,The reason describes divergence between Channel A and Channel B.
C1_020,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B deviates significantly from Channel A.",relational,The reason compares the deviation between Channel A and Channel B.
C1_021,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they diverge significantly before realigning.",relational,The reason describes divergence and realignment between the channels.
C1_022,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-150 time step interval where they diverge significantly.,relational,The reason describes divergence between Channel A and Channel B.
C1_023,OK,OK,C1,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C1_024,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,The reason compares the divergence between Channel A and Channel B.
C1_025,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,The reason compares the divergence between Channel A and Channel B.
C1_026,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-150 time step interval where they diverge significantly.,relational,The reason describes divergence between Channel A and Channel B.
C1_027,OK,OK,C1,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the 100 to 200 time step interval, where Channel B deviates significantly from Channel A.",relational,The reason compares the deviation between Channel A and Channel B.
C1_028,OK,OK,C1,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the midpoint, where they diverge significantly before realigning.",relational,The reason describes divergence and realignment between the channels.
C1_029,OK,OK,C1,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the 100-200 time step interval where they diverge significantly.,relational,The reason describes divergence between Channel A and Channel B.
C2_000,OK,OK,C2,broken,broken,0.95,"The relationship breaks down between time steps 100 and 200, where Channel B becomes flat while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels.
C2_001,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C2_002,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues oscillating.",relational,The reason compares the movement of both channels.
C2_003,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,The reason compares the behavior of both channels.
C2_004,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B remains constant while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels between time steps 100 and 200.
C2_005,OK,OK,C2,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the midpoint where Channel B becomes constant while Channel A continues to oscillate.,relational,The reason compares the behavior of both channels around the midpoint.
C2_006,OK,OK,C2,broken,broken,0.95,The relationship between Channel A and Channel B breaks down around the midpoint where Channel B becomes constant while Channel A continues to oscillate.,relational,The reason compares the behavior of both channels.
C2_007,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes flat while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels around the midpoint.
C2_008,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes flat while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels.
C2_009,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B move together initially, but Channel B becomes flat while Channel A continues oscillating, indicating a breakdown in their relationship.",relational,The reason compares the movement of both channels.
C2_010,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes flat while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels around the midpoint.
C2_011,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C2_012,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,The reason compares the behavior of Channel A and Channel B.
C2_013,OK,OK,C2,broken,broken,0.95,The relationship breaks down around the midpoint where Channel B becomes constant while Channel A continues to oscillate.,relational,The reason compares the behavior of Channel A and Channel B.
C2_014,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C2_015,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels.
C2_016,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C2_017,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,The reason compares the behavior of both channels.
C2_018,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C2_019,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B move together initially, but Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,The reason compares the movement of both channels.
C2_020,OK,OK,C2,broken,broken,0.95,The relationship breaks down around the midpoint where Channel B becomes flat while Channel A continues its oscillation.,relational,The reason compares the behavior of Channel A and Channel B.
C2_021,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B remains flat while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels between time steps 100 and 200.
C2_022,OK,OK,C2,broken,broken,0.95,"Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,The reason compares the behavior of both channels.
C2_023,OK,OK,C2,broken,broken,0.95,The relationship breaks down around the midpoint where Channel B becomes constant while Channel A continues oscillating.,relational,The reason compares the behavior of Channel A and Channel B.
C2_024,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C2_025,OK,OK,C2,broken,broken,0.95,The relationship breaks down between time steps 100 and 200 where Channel B becomes constant while Channel A continues to oscillate.,relational,The reason compares the behavior of both channels.
C2_026,OK,OK,C2,broken,broken,0.95,"The relationship breaks down between time steps 100 and 200, where Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels.
C2_027,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate, indicating a breakdown in their relationship.",relational,The reason compares the movement of Channel A and Channel B.
C2_028,OK,OK,C2,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down between time steps 100 and 200, where Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the behavior of both channels between time steps 100 and 200.
C2_029,OK,OK,C2,broken,broken,0.95,"Channel A and Channel B initially move together, but Channel B becomes constant while Channel A continues to oscillate.",relational,The reason compares the movement of Channel A and Channel B.
C3_000,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C3_001,OK,OK,C3,broken,maintained,0.95,"The two channels move in sync with each other throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes synchronization and phase relationship.
C3_002,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_003,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_004,OK,OK,C3,broken,maintained,0.95,The two channels move in sync with a stable phase relationship throughout the entire interval.,relational,The reason describes the synchronization and phase relationship between the channels.
C3_005,OK,OK,C3,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes a consistent pattern and phase relationship between the channels.
C3_006,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to move out of sync and do not fully recover.",relational,The reason describes the channels moving out of sync.
C3_007,OK,OK,C3,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly before realigning.",relational,The reason describes divergence and realignment between the channels.
C3_008,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C3_009,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C3_010,OK,OK,C3,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_011,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_012,OK,OK,C3,broken,maintained,0.95,The two channels move in sync with a stable phase relationship throughout the entire interval.,relational,The reason describes the synchronization and phase relationship between the channels.
C3_013,OK,OK,C3,broken,maintained,0.95,"The two channels move in a consistent phase relationship throughout the entire interval, with no significant divergence.",relational,The reason describes the phase relationship between the channels.
C3_014,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to move out of sync and do not fully recover.",relational,The reason describes the synchronization and divergence between the channels.
C3_015,OK,OK,C3,broken,maintained,0.95,"The two channels move in a consistent phase relationship throughout the entire interval, with no significant divergence.",relational,The reason describes the phase relationship between the channels.
C3_016,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,The reason describes a consistent phase relationship between the channels.
C3_017,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,The reason describes a consistent phase relationship between the channels.
C3_018,OK,OK,C3,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_019,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_020,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_021,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,The reason describes a consistent phase relationship between the channels.
C3_022,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_023,OK,OK,C3,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_024,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently throughout the interval, maintaining a stable phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_025,OK,OK,C3,broken,broken,0.9,"The relationship between Channel A and Channel B breaks down around the midpoint, where they become out of phase, and does not fully recover.",relational,The reason describes the phase relationship between the channels.
C3_026,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_027,OK,OK,C3,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they become out of phase, and does not fully recover.",relational,The reason describes the phase relationship between the channels.
C3_028,OK,OK,C3,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C3_029,OK,OK,C3,broken,maintained,0.95,The two channels move together in a consistent phase relationship throughout the entire interval.,relational,The reason describes a consistent phase relationship between the channels.
C4_000,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_001,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_002,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C4_003,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude divergence of both channels.
C4_004,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly and do not fully recover synchronization.",relational,The reason describes divergence between Channel A and Channel B.
C4_005,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together and maintaining a phase relationship.
C4_006,OK,OK,C4,broken,maintained,0.95,"The two channels move in sync with each other throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C4_007,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly and do not fully recover synchronization.",relational,The reason compares the divergence between Channel A and Channel B.
C4_008,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_009,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_010,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_011,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_012,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_013,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C4_014,OK,OK,C4,broken,maintained,0.95,"The two channels move together consistently, maintaining a stable phase relationship throughout the interval.",relational,The reason describes the synchronization and phase relationship between the channels.
C4_015,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_016,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_017,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_018,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_019,OK,OK,C4,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together in a consistent pattern.
C4_020,OK,OK,C4,broken,maintained,0.95,"The two channels move together in a consistent pattern throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the channels moving together in a consistent pattern.
C4_021,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_022,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_023,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly and do not fully recover synchronization.",relational,The reason describes divergence between Channel A and Channel B.
C4_024,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason compares the phase and amplitude of both channels.
C4_025,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_026,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_027,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C4_028,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly.",relational,The reason describes divergence between Channel A and Channel B.
C4_029,OK,OK,C4,broken,broken,0.95,"The relationship between Channel A and Channel B breaks down around the midpoint, where they start to diverge significantly in phase and amplitude.",relational,The reason describes divergence in phase and amplitude between the channels.
C5_000,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C5_001,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C5_002,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase and proportional relationship.",relational,The reason describes the synchronization and proportional relationship between the channels.
C5_003,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move together consistently throughout the entire interval, maintaining a stable phase relationship.",relational,The reason describes the consistent joint movement of both channels.
C5_004,OK,OK,C5,broken,maintained,0.95,"Channel A and Channel B move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the synchronization and phase relationship between the channels.
C5_005,OK,OK,C5,broken,maintained,0.95,"The two channels move closely together throughout the entire interval, maintaining a consistent phase relationship.",relational,The reason describes the channels moving closely together.
