entity,start,end,length,score,verdict,confidence,reason,is_tp
machine-1-2,5712,6103,392,0.17202706814610533,ANOMALY,3,Multiple channels show a clear level shift and structural break during the candidate interval.,True
machine-1-2,6160,6943,784,0.17148417374119163,ANOMALY,3,Multiple channels show significant deviations and increased variability during the candidate interval compared to the su,False
machine-1-2,7280,7503,224,0.16616800712654367,NORMAL,1,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-2,7784,8007,224,0.16686960333026946,NORMAL,2,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-2,8288,8511,224,0.16660270473221317,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,False
machine-1-2,11144,11423,280,0.16731184511445463,NORMAL,2,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-2,12432,13047,616,0.17101809913715857,NORMAL,1,The candidate interval does not show strong deviations from the surrounding context across multiple channels.,False
machine-1-2,13384,13495,112,0.1665913627715785,NORMAL,1,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-2,14616,14727,112,0.16549175354884937,NORMAL,1,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,False
machine-1-2,15456,15679,224,0.16820922965416685,ANOMALY,3,Multiple channels show significant deviations and structural changes during the candidate interval compared to the surro,True
machine-1-2,15792,16071,280,0.17475550479721277,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-2,16912,17079,168,0.1689682232293611,NORMAL,2,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-2,18480,19039,560,0.16923364220419898,ANOMALY,3,Multiple channels show distinct level shifts and structural changes during the candidate interval.,True
machine-1-2,19208,19431,224,0.1659341043094189,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,False
machine-1-2,20048,20439,392,0.1703887386496977,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-2,20608,20887,280,0.16757898810785363,NORMAL,1,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-2,21784,22399,616,0.17483399862169594,ANOMALY,3,Multiple channels show significant level shifts and structural breaks during the candidate interval.,True
machine-1-2,22680,22959,280,0.16705605705734355,ANOMALY,3,Multiple channels show significant level shifts and structural changes during the candidate interval.,False
machine-1-5,10416,10807,392,0.17936553633106606,ANOMALY,3,"Channel 5 shows a clear level shift and structural break, affecting multiple channels simultaneously.",True
machine-1-5,11704,11927,224,0.17520335788140073,ANOMALY,3,"Multiple channels show significant deviations and pattern changes during the candidate interval, especially in channels ",True
machine-1-5,12600,12991,392,0.1986848475145442,ANOMALY,3,Multiple channels show significant deviations and structural changes during the candidate interval.,True
machine-1-5,13608,13663,56,0.17035484686493874,NORMAL,2,The candidate interval does not show significant deviation from surrounding patterns across multiple channels.,False
machine-1-5,13888,14279,392,0.1809547714157296,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-5,14336,14951,616,0.18990587180649693,NORMAL,2,The candidate interval does not show significant deviation from the surrounding context across multiple channels.,True
machine-1-5,15344,15791,448,0.17239923815941438,ANOMALY,3,Multiple channels show a clear structural break and divergence during the candidate interval.,False
machine-1-5,16352,16519,168,0.17202440005106232,ANOMALY,3,"Multiple channels show significant deviations during the candidate interval, particularly channels 5 and 22, indicating ",False
machine-1-5,19376,19431,56,0.17089309450238943,ANOMALY,3,"Channel 5 shows a clear level shift during the candidate interval, which stands out from the surrounding context.",False
machine-1-5,19488,19599,112,0.16962528484873474,ANOMALY,3,Multiple channels show a clear structural break and divergence during the candidate interval.,False
machine-1-5,20608,21559,952,0.17908218686523683,ANOMALY,3,"Channel 5 shows a clear level shift and structural break during the candidate interval, which is not present in the surr",True
machine-1-5,21952,22231,280,0.18003786052577198,ANOMALY,3,Multiple channels show significant deviations and structural changes during the candidate interval.,True
