case_id,case_type,group,break_start,break_end,left_L0,left_L1,left_L2,left_L3,right_R0,right_R1,right_R2,right_R3,gold_left,gold_right,model_left,model_right,left_correct,right_correct,both_correct,left_error_steps,right_error_steps,model_confidence,model_reason,parse_status
C2_002,C2,primary,100,200,109,115,121,103,211,190,176,184,L3,R1,L1,R2,False,False,False,15,24,0.85,The correlation drops significantly around L1 and starts to recover around R2.,OK
C2_003,C2,primary,100,200,107,113,146,119,196,190,171,184,L0,R0,L2,R2,False,False,False,46,29,0.85,"The correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C2_004,C2,primary,100,200,106,112,143,118,209,191,151,185,L0,R0,L1,R2,False,False,False,12,49,0.85,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold line.",OK
C2_005,C2,primary,100,200,94,109,115,103,208,191,170,185,L3,R0,L2,R2,False,False,False,15,30,0.9,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C2_006,C2,primary,100,200,89,109,117,126,212,193,165,187,L1,R1,L1,R0,True,False,False,9,12,0.95,"The correlation drops significantly at L1 and starts recovering at R0, where it crosses the threshold again.",OK
C2_007,C2,primary,100,200,90,110,131,104,194,188,182,200,L3,R3,L1,R2,False,False,False,10,18,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C2_008,C2,primary,100,200,93,111,148,105,190,166,152,184,L3,R0,L1,R2,False,False,False,11,48,0.85,"The correlation drops significantly at L1 and starts to recover around R2, where it crosses the threshold again.",OK
C2_009,C2,primary,100,200,106,112,118,100,195,189,158,183,L3,R0,L1,R2,False,False,False,12,42,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating the break in synchronization.",OK
C2_010,C2,primary,100,200,105,111,123,117,192,186,169,180,L0,R0,L1,R2,False,False,False,11,31,0.85,"The correlation starts to drop significantly around L1 and begins to recover around R2, where it crosses the threshold line.",OK
C2_011,C2,primary,100,200,91,110,116,104,208,192,151,178,L3,R0,L1,R2,False,False,False,10,49,0.85,"The correlation drops significantly at L1 and begins to recover around R2, where the rolling correlation starts to rise again.",OK
C2_012,C2,primary,100,200,109,103,117,97,211,193,187,181,L1,R1,L1,R2,True,False,False,3,13,0.85,"The correlation drops significantly after L1 and starts to recover around R2, indicating the break and partial recovery of the relationship.",OK
C2_013,C2,primary,100,200,88,109,115,103,190,172,184,196,L3,R3,L1,R2,False,False,False,9,16,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C2_014,C2,primary,100,200,95,110,134,116,208,190,176,184,L0,R0,L1,R2,False,False,False,10,24,0.85,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold line.",OK
C2_015,C2,primary,100,200,111,105,138,131,209,191,185,197,L1,R3,L1,R2,True,False,False,5,15,0.85,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold line.",OK
C2_016,C2,primary,100,200,109,115,140,103,208,163,185,191,L3,R0,L1,R2,False,False,False,15,15,0.9,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold again.",OK
C2_017,C2,primary,100,200,88,110,137,116,208,192,165,186,L1,R0,L2,R1,False,False,False,37,8,0.9,"The rolling correlation drops significantly below the threshold around L2, indicating the start of the relationship breakdown. It recovers above the threshold around R1.",OK
C2_018,C2,primary,100,200,95,113,125,119,193,187,181,199,L0,R3,L1,R2,False,False,False,13,19,0.85,The correlation drops significantly after L1 and starts recovering around R2.,OK
C2_019,C2,primary,100,200,112,106,121,100,193,187,181,199,L3,R3,L1,R2,False,False,False,6,19,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating the break in relationship starts and ends there.",OK
C2_020,C2,primary,100,200,88,110,128,116,192,186,161,180,L1,R0,L1,R2,True,False,False,10,39,0.9,"The correlation drops significantly around L1 and starts to recover around R2, indicating the break in synchronization.",OK
C2_021,C2,primary,100,200,91,109,149,115,210,193,180,187,L0,R1,L1,R2,False,False,False,9,20,0.9,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold again.",OK
C2_022,C2,primary,100,200,107,113,123,101,209,192,186,180,L3,R1,L1,R2,False,False,False,13,14,0.85,"The correlation starts to drop significantly at L1 and begins to recover around R2, where it crosses the threshold again.",OK
C2_023,C2,primary,100,200,111,105,118,99,212,193,161,187,L3,R1,L1,R2,False,False,False,5,39,0.9,"The correlation drops significantly at L1 and starts recovering around R2, where it crosses the threshold again.",OK
C2_024,C2,primary,100,200,104,110,116,122,189,195,153,183,L0,R1,L2,R2,False,False,False,16,47,0.85,"The correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C2_025,C2,primary,100,200,107,113,123,101,191,197,158,185,L3,R1,L1,R2,False,False,False,13,42,0.9,"The correlation drops significantly at L1 and begins to recover around R2, where the rolling correlation crosses the threshold line.",OK
C2_026,C2,primary,100,200,94,111,140,105,191,197,179,185,L3,R1,L1,R2,False,False,False,11,21,0.85,"The correlation drops significantly at L1 and starts to recover around R2, where it crosses the threshold again.",OK
C2_027,C2,primary,100,200,104,111,140,134,192,198,186,180,L0,R1,L1,R2,False,False,False,11,14,0.85,"The correlation drops significantly after L1 and starts to recover around R2, where it crosses the threshold line.",OK
C2_028,C2,primary,100,200,92,110,138,116,192,186,180,198,L0,R3,L1,R2,False,False,False,10,20,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C2_029,C2,primary,100,200,93,109,115,103,204,190,153,180,L3,R0,L1,R2,False,False,False,9,47,0.85,"The correlation drops significantly around L1 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C3_000,C3,primary,100,200,107,98,113,92,191,204,185,198,L1,R3,L2,R2,False,False,False,13,15,0.9,"The rolling correlation drops significantly around L2 and starts recovering around R2, indicating a break and partial recovery in the relationship.",OK
C3_001,C3,primary,100,200,95,101,112,89,206,200,188,194,L1,R1,L1,R2,True,False,False,1,12,0.95,"The correlation drops significantly after L1 and starts recovering around R2, indicating the break in synchronization.",OK
C3_002,C3,primary,100,200,106,99,113,93,189,204,183,198,L1,R3,L2,R1,False,False,False,13,4,0.9,"The rolling correlation drops significantly around L2, indicating the start of the relationship breakdown. It recovers around R1, where the correlation rises above the threshold.",OK
C3_003,C3,primary,100,200,106,99,112,93,188,204,182,198,L1,R3,L2,R2,False,False,False,12,18,0.9,"The correlation drops significantly around L2 and starts recovering around R2, indicating the break in synchronization.",OK
C3_004,C3,primary,100,200,89,99,112,105,190,203,184,197,L1,R1,L2,R1,False,True,False,12,3,0.9,"The rolling correlation drops significantly at L2 and starts to recover around R1, indicating a breakdown and partial recovery of the relationship.",OK
C3_005,C3,primary,100,200,94,100,112,106,207,201,188,195,L1,R1,L2,R2,False,False,False,12,12,0.95,"The rolling correlation drops significantly after L2 and begins to recover around R2, indicating a break and recovery in the relationship.",OK
C3_006,C3,primary,100,200,92,98,113,104,209,203,188,197,L1,R1,L2,R2,False,False,False,13,12,0.9,"The rolling correlation drops significantly around L2 and begins to recover around R2, indicating a break and partial recovery in the relationship.",OK
C3_007,C3,primary,100,200,89,98,113,104,204,198,188,210,L1,R1,L2,R1,False,True,False,13,2,0.9,The rolling correlation drops significantly around L2 and begins to recover around R1.,OK
C3_008,C3,primary,100,200,91,98,112,104,206,200,188,194,L1,R1,L2,R2,False,False,False,12,12,0.9,"The rolling correlation drops significantly after L2 and begins to recover around R2, indicating the start and end of the relationship break.",OK
C3_009,C3,primary,100,200,112,99,118,93,192,203,186,209,L1,R1,L2,R2,False,False,False,18,14,0.95,"The correlation drops significantly after L2 and begins to recover around R2, indicating the start and end of the relationship breakdown.",OK
C3_010,C3,primary,100,200,108,99,114,93,191,203,185,197,L1,R1,L1,R2,True,False,False,1,15,0.9,"The correlation drops significantly around L1 and starts recovering around R2, where it crosses the threshold line.",OK
C3_011,C3,primary,100,200,90,99,112,105,195,204,188,210,L1,R1,L1,R2,True,False,False,1,12,0.85,"The rolling correlation drops significantly after L1 and starts recovering around R2, indicating a breakdown and partial recovery of the relationship.",OK
C3_012,C3,primary,100,200,96,102,114,108,194,204,188,210,L1,R1,L1,R2,True,False,False,2,12,0.85,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold line.",OK
C3_013,C3,primary,100,200,108,98,114,92,205,199,188,211,L1,R1,L1,R2,True,False,False,2,12,0.9,"The correlation drops significantly after L1 and starts recovering around R2, indicating the break starts at L1 and ends at R2.",OK
C3_014,C3,primary,100,200,95,101,112,89,206,200,188,194,L1,R1,L1,R2,True,False,False,1,12,0.9,The rolling correlation drops significantly below the threshold around L1 and starts recovering around R2.,OK
C3_015,C3,primary,100,200,106,98,113,92,189,204,183,198,L1,R3,L2,R1,False,False,False,13,4,0.95,"The correlation drops significantly at L2 and begins to recover around R1, as indicated by the rolling correlation curve.",OK
C3_016,C3,primary,100,200,89,99,113,105,192,203,186,209,L1,R1,L1,R2,True,False,False,1,14,0.9,The rolling correlation drops significantly below the threshold around L1 and starts recovering around R2.,OK
C3_017,C3,primary,100,200,108,99,114,93,195,204,186,210,L1,R1,L2,R2,False,False,False,14,14,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C3_018,C3,primary,100,200,107,98,113,92,188,203,182,197,L1,R1,L1,R2,True,False,False,2,18,0.9,The correlation drops significantly below the threshold at L1 and begins to recover around R2.,OK
C3_019,C3,primary,100,200,90,98,112,104,205,199,188,211,L1,R1,L1,R2,True,False,False,2,12,0.85,"The rolling correlation drops significantly below the threshold around L1, indicating the start of the relationship breakdown. It begins to recover around R2, where the correlation rises back above the threshold.",OK
C3_020,C3,primary,100,200,89,98,114,104,211,203,188,197,L1,R1,L2,R2,False,False,False,14,12,0.95,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C3_021,C3,primary,100,200,105,99,112,93,190,204,184,198,L1,R3,L1,R2,True,False,False,1,16,0.9,The rolling correlation drops significantly below the threshold around L1 and starts recovering around R2.,OK
C3_022,C3,primary,100,200,106,98,112,92,204,198,188,210,L1,R1,L2,R2,False,False,False,12,12,0.95,The rolling correlation drops significantly below the threshold around L2 and begins to recover around R2.,OK
C3_023,C3,primary,100,200,107,98,113,92,211,204,188,198,L1,R3,L2,R2,False,False,False,13,12,0.95,The rolling correlation drops significantly below the threshold around L2 and begins to recover around R2.,OK
C3_024,C3,primary,100,200,104,98,113,92,189,203,183,197,L1,R1,L1,R2,True,False,False,2,17,0.9,The rolling correlation drops significantly below the threshold around L1 and starts recovering around R2.,OK
C3_025,C3,primary,100,200,106,98,112,92,210,204,188,198,L1,R3,L2,R2,False,False,False,12,12,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C3_026,C3,primary,100,200,91,98,112,104,205,199,188,211,L1,R1,L2,R2,False,False,False,12,12,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2, indicating a break and partial recovery in the relationship.",OK
C3_027,C3,primary,100,200,88,98,112,104,210,204,188,198,L1,R3,L2,R2,False,False,False,12,12,0.9,"The rolling correlation drops significantly at L2 and starts recovering around R2, indicating the break in synchronization.",OK
C3_028,C3,primary,100,200,88,99,113,105,189,204,183,198,L1,R3,L2,R2,False,False,False,13,17,0.9,The rolling correlation drops significantly below the threshold around L2 and begins to recover around R2.,OK
C3_029,C3,primary,100,200,95,101,112,89,194,203,188,209,L1,R1,L1,R2,True,False,False,1,12,0.95,The rolling correlation drops significantly below the threshold around L1 and begins to recover around R2.,OK
C4_000,C4,reference,100,300,111,121,167,161,287,227,264,221,L0,R0,L2,R2,False,False,False,67,36,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_001,C4,reference,100,300,91,121,169,159,287,229,211,275,L0,R0,L2,R2,False,False,False,69,89,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_002,C4,reference,100,300,88,120,167,159,287,227,260,221,L0,R0,L2,R1,False,False,False,67,73,0.85,"The rolling correlation drops significantly after L2, indicating a breakdown in the relationship. It starts to recover after R1, where the correlation rises again.",OK
C4_003,C4,reference,100,300,91,121,169,160,287,228,213,222,L0,R0,L2,R2,False,False,False,69,87,0.85,The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2.,OK
C4_004,C4,reference,100,300,91,121,167,160,287,229,263,223,L0,R0,L2,R2,False,False,False,67,37,0.85,"The rolling correlation drops significantly around L2 and starts recovering around R2, indicating a break and partial recovery in the relationship.",OK
C4_005,C4,reference,100,300,95,122,169,160,287,229,263,276,L0,R0,L2,R1,False,False,False,69,71,0.9,"The rolling correlation drops significantly below the threshold around L2, indicating the start of the relationship breakdown. It begins to recover around R1, where the correlation rises again.",OK
C4_006,C4,reference,100,300,94,121,169,159,287,229,215,275,L0,R0,L2,R1,False,False,False,69,71,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R1.,OK
C4_007,C4,reference,100,300,92,120,168,160,287,228,262,275,L0,R0,L2,R2,False,False,False,68,38,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_008,C4,reference,100,300,89,120,168,159,287,228,210,274,L0,R0,L2,R2,False,False,False,68,90,0.9,The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2.,OK
C4_009,C4,reference,100,300,90,120,168,161,287,228,263,222,L0,R0,L2,R1,False,False,False,68,72,0.9,The correlation drops significantly below the threshold around L2 and starts recovering around R1.,OK
C4_010,C4,reference,100,300,108,120,169,161,287,229,263,275,L0,R0,L1,R2,False,False,False,20,37,0.85,"The correlation drops significantly after L1 and starts recovering around R2, where it crosses the threshold again.",OK
C4_011,C4,reference,100,300,88,121,168,161,287,228,265,274,L0,R0,L2,R2,False,False,False,68,35,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C4_012,C4,reference,100,300,106,120,169,160,287,227,264,221,L0,R0,L2,R2,False,False,False,69,36,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_013,C4,reference,100,300,96,121,166,160,287,200,261,227,L0,R0,L2,R1,False,False,False,66,100,0.9,"The rolling correlation drops significantly below the threshold around L2, indicating the start of the relationship break. It begins to recover around R1, where the correlation rises above the threshold again.",OK
C4_014,C4,reference,100,300,108,121,168,160,287,228,260,222,L0,R0,L2,R1,False,False,False,68,72,0.9,"The rolling correlation drops significantly below the threshold around L2, indicating the start of the relationship breakdown. It begins to recover around R1, where the correlation rises above the threshold again.",OK
C4_015,C4,reference,100,300,110,121,167,160,287,228,265,275,L0,R0,L2,R2,False,False,False,67,35,0.85,"The rolling correlation drops significantly around L2 and starts recovering around R2, indicating a breakdown and partial recovery of the relationship.",OK
C4_016,C4,reference,100,300,91,121,167,161,287,228,211,275,L0,R0,L2,R2,False,False,False,67,89,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_017,C4,reference,100,300,108,120,167,160,287,228,215,274,L0,R0,L2,R1,False,False,False,67,72,0.85,"The rolling correlation drops significantly after L2, indicating a breakdown in the relationship. It starts to recover around R1, where the correlation rises again.",OK
C4_018,C4,reference,100,300,109,120,166,160,287,228,214,222,L0,R0,L1,R2,False,False,False,20,86,0.85,"The rolling correlation drops significantly below the threshold around L1, indicating a breakdown in the relationship. It starts to recover around R2, where the correlation rises above the threshold again.",OK
C4_019,C4,reference,100,300,89,121,168,159,287,228,262,274,L0,R0,L2,R2,False,False,False,68,38,0.85,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_020,C4,reference,100,300,110,122,167,161,287,228,214,274,L0,R0,L2,R2,False,False,False,67,86,0.85,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_021,C4,reference,100,300,105,121,168,159,287,229,216,275,L0,R0,L2,R1,False,False,False,68,71,0.85,The correlation drops significantly below the threshold around L2 and starts recovering around R1.,OK
C4_022,C4,reference,100,300,109,121,167,160,287,228,263,222,L0,R0,L2,R1,False,False,False,67,72,0.9,"The rolling correlation drops significantly below the threshold around L2, indicating the start of the relationship breakdown. It begins to recover around R1, where the correlation rises above the threshold again.",OK
C4_023,C4,reference,100,300,90,121,169,160,287,228,214,274,L0,R0,L2,R2,False,False,False,69,86,0.95,"The rolling correlation drops significantly at L2 and does not recover until R2, indicating a breakdown and recovery in the relationship.",OK
C4_024,C4,reference,100,300,109,121,169,161,287,228,208,275,L0,R0,L2,R2,False,False,False,69,92,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C4_025,C4,reference,100,300,94,121,168,160,287,228,264,274,L0,R0,L2,R1,False,False,False,68,72,0.85,"The correlation drops significantly after L2 and starts recovering around R1, indicating a break and partial recovery in the relationship.",OK
C4_026,C4,reference,100,300,110,121,166,160,287,229,264,276,L0,R0,L1,R2,False,False,False,21,36,0.9,"The rolling correlation drops significantly below the threshold around L1, indicating the start of the relationship breakdown. It begins to recover around R2, where the correlation rises back above the threshold.",OK
C4_027,C4,reference,100,300,105,121,170,160,287,228,212,274,L0,R0,L2,R2,False,False,False,70,88,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C4_028,C4,reference,100,300,109,121,166,160,287,228,216,222,L0,R0,L2,R2,False,False,False,66,84,0.9,The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2.,OK
C4_029,C4,reference,100,300,94,120,168,160,287,228,214,222,L0,R0,L2,R1,False,False,False,68,72,0.85,"The correlation drops significantly after L2 and starts to recover around R1, indicating a break in the relationship.",OK
C5_000,C5,reference,100,200,93,125,119,131,209,150,173,179,L0,R0,L2,R1,False,False,False,19,50,0.85,"The rolling correlation drops significantly around L2 and starts recovering around R1, indicating a break and partial recovery in the relationship.",OK
C5_001,C5,reference,100,200,105,125,119,113,189,150,172,178,L0,R0,L2,R2,False,False,False,19,28,0.85,"The rolling correlation drops significantly after L2 and starts recovering after R2, indicating a break in the relationship between the channels.",OK
C5_002,C5,reference,100,200,91,125,119,131,194,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C5_003,C5,reference,100,200,96,124,118,130,208,150,173,179,L0,R0,L2,R2,False,False,False,18,27,0.85,"The correlation drops significantly below the threshold at L2 and begins to recover around R2, indicating a break and partial recovery in the relationship.",OK
C5_004,C5,reference,100,200,109,124,118,130,205,150,172,178,L0,R0,L2,R2,False,False,False,18,28,0.85,The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2.,OK
C5_005,C5,reference,100,200,94,125,119,113,190,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C5_006,C5,reference,100,200,95,125,119,113,209,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2, indicating a break and partial recovery in the relationship.",OK
C5_007,C5,reference,100,200,94,124,118,112,210,150,172,178,L0,R0,L2,R2,False,False,False,18,28,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C5_008,C5,reference,100,200,106,124,118,130,188,150,173,179,L0,R0,L2,R2,False,False,False,18,27,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C5_009,C5,reference,100,200,111,125,119,131,206,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C5_010,C5,reference,100,200,108,124,118,130,195,150,173,179,L0,R0,L2,R2,False,False,False,18,27,0.9,The rolling correlation drops significantly below the threshold around L2 and starts recovering around R2.,OK
C5_011,C5,reference,100,200,110,125,119,131,204,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,"The rolling correlation drops significantly below the threshold around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C5_012,C5,reference,100,200,91,125,119,131,196,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a breakdown and partial recovery of the relationship.",OK
C5_013,C5,reference,100,200,112,125,119,131,189,150,173,179,L0,R0,L2,R2,False,False,False,19,27,0.85,"The rolling correlation drops significantly around L2 and starts to recover around R2, indicating a break and partial recovery in the relationship.",OK
C5_014,C5,reference,100,200,90,125,119,113,210,150,174,180,L0,R0,L2,R1,False,False,False,19,50,0.85,"The correlation drops significantly around L2 and starts to recover around R1, indicating a break and partial recovery in the relationship.",OK
