case_id,n_channels,break_scenario,pair_name,pair_position,break_type,ground_truth,model_answer,correct,model_confidence,model_reason,parse_status
N8_none_002,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_002,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_002,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_002,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_003,8,N8_none,P1,0,,maintained,maintained,True,1.0,All pairs maintain their synchronized relationship throughout the entire interval without any visible breakdown.,OK
N8_none_003,8,N8_none,P2,1,,maintained,maintained,True,1.0,All pairs maintain their synchronized relationship throughout the entire interval without any visible breakdown.,OK
N8_none_003,8,N8_none,P3,2,,maintained,maintained,True,1.0,All pairs maintain their synchronized relationship throughout the entire interval without any visible breakdown.,OK
N8_none_003,8,N8_none,P4,3,,maintained,maintained,True,1.0,All pairs maintain their synchronized relationship throughout the entire interval without any visible breakdown.,OK
N8_none_004,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_004,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_004,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_004,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_005,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_005,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_005,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_005,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_006,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_006,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_006,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_006,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_007,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_007,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_007,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_007,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_008,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_008,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_008,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_008,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_009,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show consistent synchronization throughout the interval without any visible breakdowns.,OK
N8_none_009,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show consistent synchronization throughout the interval without any visible breakdowns.,OK
N8_none_009,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show consistent synchronization throughout the interval without any visible breakdowns.,OK
N8_none_009,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show consistent synchronization throughout the interval without any visible breakdowns.,OK
N8_none_010,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_010,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_010,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_010,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_011,8,N8_none,P1,0,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_011,8,N8_none,P2,1,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_011,8,N8_none,P3,2,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
N8_none_011,8,N8_none,P4,3,,maintained,maintained,True,0.95,All pairs show synchronized movement throughout the entire interval without any visible breakdowns.,OK
